,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
738,664,Race,Foreigner,"They even consume rare food, do you think they care?",0,"['even', 'consume', 'rare', 'food', 'think', 'care']"
739,665,Religion,Islam,Muslim only resort is to KILL KILL KILL DESTROY DESTROY DESTROY,1,"['slim', 'resort', 'kill', 'kill', 'kill', 'destroy', 'destroy', 'destroy']"
740,666,Religion,Buddhism,I am now pursuing the best solution by engaging in various Buddhist activities.,0,"['pursue', 'good', 'solution', 'engage', 'various', 'buddhist', 'activity']"
741,666,Religion,Buddhism,I am writing extensively about Buddhist theory in a book to deepen my understanding of Buddhism.,0,"['write', 'extensively', 'buddhist', 'theory', 'book', 'deepen', 'understand', 'buddhist']"
742,667,Religion,Buddhism,I have joined a Buddhist group in Singapore where I volunteer to cook vegetarian meals for those who come to the temple to chant Buddhist scriptures,0,"['join', 'buddhist', 'group', 'meal', 'come', 'chant', 'buddhist', 'scripture']"
743,668,Religion,Buddhism,I will consider ordaining as a monk when I reach the age of 45 or 55,0,"['consider', 'obtain', 'monk', 'reach', 'age']"
744,669,Religion,Buddhism,"If this life is chosen as a human birth, we can learn Buddhism.",0,"['life', 'choose', 'human', 'birth', 'learn', 'buddhist']"
745,669,Religion,Buddhism,"However, in the next life, we may not necessarily be born human, so it is important to learn Buddhism.",0,"['however', 'next', 'life', 'unnecessarily', 'bear', 'human', 'important', 'learn', 'buddhist']"
746,670,Gender,Female,"Disregard hoes, acquire assets",0,"['hoe', 'acquire', 'asset']"
747,671,Gender,Female,"instead of find girlfriend, let girlfriend find you.",0,"['instead', 'find', 'girlfriend', 'let', 'girlfriend', 'find']"
748,671,Gender,Female,"post on tinder, instagrram, facebook etc etc.",0,"['tinder', 'instagrram', 'facebook']"
749,671,Gender,Female,"show your handsome face, abs, guns, cash sure get girls.",0,"['show', 'handsome', 'face', 'gun', 'cash', 'sure', 'get', 'girl']"
750,672,Gender,Male,"Unless a woman is looking for you when she has just turned legal, you are only seen as an ATM.",1,"['woman', 'look', 'turn', 'legal', 'see', 'atm']"
751,673,Gender,Female," a woman who is interested in just you, will help build a stable financial future together ... just something to remember.",0,"['woman', 'interested', 'help', 'build', 'stable', 'financial', 'future', 'together', 'remember']"
752,674,Gender,Female,they don't make women like in the past.,1,"['make', 'woman', 'past']"
753,674,Gender,Female,Women nowadays useless and fat.,1,"['woman', 'nowadays', 'useless', 'fat']"
754,677,Gender,Female,ur grandma probably is stuck in the past when women were much simpler and would be OK with any man they meet.,0,"['probably', 'stick', 'past', 'woman', 'much', 'simple', 'meet']"
755,677,Gender,Female,"nowadays, women are the one choosing their partners.",0,"['nowadays', 'woman', 'choose', 'partner']"
756,678,Gender,Female,Some woman no children also want to be stay at home partner.,1,"['woman', 'parent', 'also', 'want', 'stay', 'home', 'partner']"
757,678,Gender,Female,"Even stay at home also she will be useless by not doing housework, cooking and even sex.",1,"['even', 'stay', 'home', 'also', 'useless', 'unmake', 'homework', 'cook', 'even', 'sex']"
758,678,Gender,Female,She knows she can get away with doing nothing and the husband can't even lay a finger on her.,1,"['know', 'get', 'away', 'husband', 'even', 'lay', 'finger']"
759,679,Gender,Female,"Ur gramps want u to marry, ask her to find a decent women who will stick with u even when u have nothing.",0,"['cramp', 'want', 'ask', 'find', 'decent', 'woman', 'stick', 'even']"
760,680,Gender,Female,You are the only woman I look up to.,0,"['woman', 'look']"
761,681,Gender,Female,Typical feminist bodoh.,1,"['typical', 'feminist']"
762,682,Gender,Female,Women are all bodoh,1,['woman']
763,685,Gender,Female,Some woman beat husband.,1,"['woman', 'beat', 'husband']"
764,686,Gender,Female,"Other bitches shopping luxury no return, only full of lust garnering and pasal finding.",1,"['birch', 'shop', 'luxury', 'return', 'full', 'lust', 'garner', 'nasal', 'finding']"
765,691,Religion,Christianity,Christianity gets disrespected way too openly,0,"['disrespect', 'way', 'openly']"
766,694,Race,Indian,If white skin better,1,"['white', 'skin', 'well']"
767,695,Religion,Christianity,"So Christians now have a right to physically attack her right , Malaysians ?",1,"['christian', 'right', 'physically', 'attack', 'right', 'malaysian']"
768,695,Religion,Christianity,Surround her house ?,1,"['surround', 'house']"
769,695,Religion,Christianity,Petrol bomb her ?,1,"['petrol', 'bomb']"
770,696,Religion,Multiple,I'm lost for words.,0,"['lose', 'word']"
771,696,Religion,Multiple,Religion is a sensitive and personal thing - doesn't matter whether it's Islam or Buddhism or Hinduism or Christianity.,0,"['religion', 'sensitive', 'personal', 'thing', 'matter', 'slam', 'buddhist', 'hinduism', 'christianity']"
772,696,Religion,Multiple,"It's just disrespectful that it should be manipulated for fame, political gain or power.",0,"['disrespectful', 'manipulate', 'fame', 'political', 'gain', 'power']"
773,697,Religion,Christianity,Christians will complain but won't threaten violence.,0,"['christian', 'complain', 'threaten', 'violence']"
774,698,Religion,Islam,Switch to Islam and barbaric muslims will be openly calling for her death,1,"['twitch', 'barbaric', 'muslin', 'openly', 'call', 'death']"
775,699,Religion,Islam,Wonder why local Islam not joining the MCCBCHST to promote more understanding and harmony among faiths?,0,"['wonder', 'local', 'slam', 'disjoin', 'mccbchst', 'promote', 'understand', 'harmony', 'faith']"
776,700,Religion,Multiple,Ignore that fake non Muslim.,0,"['ignore', 'face', 'non', 'slim']"
777,700,Religion,Multiple,He is not convincing at all.,0,['unconvincing']
778,701,Religion,Buddhism,You should not interfere in Islamic affairs.,1,"['interfere', 'islamic', 'affair']"
779,701,Religion,Buddhism,You are only a Buddhist.,1,['buddhist']
780,703,Religion,Multiple,It will affect you kafirs eventually.,0,"['affect', 'hair', 'eventually']"
781,704,Religion,Islam,"U think all muslim is ""real"" muslim or has name in IC only.",0,"['think', 'real', 'muslin', 'name']"
782,704,Religion,Islam,I can tell it will not work.,0,"['tell', 'work']"
783,706,Religion,Islam,I thought got some Quran phrases to see here,0,"['think', 'run', 'phrase', 'see']"
784,707,Religion,Buddhism,Don't challenge us!,0,['challenge']
785,707,Religion,Buddhism,We are very sensitive!,0,['sensitive']
786,708,Religion,Buddhism,You just posted the root cause to earthquake,1,"['post', 'root', 'cause', 'earthquake']"
787,709,Religion,Buddhism,"Death to buddha, Boycott buddhists, Petrol bomb buddhists",1,"['death', 'buddha', 'boycott', 'buddhist', 'petrol', 'bomb', 'buddhist']"
788,711,Religion,Buddhism,"He have his way, some like it, some don't, but definitely no one will be crazy enough to viralkan, threatened to kill or mass boycott.",0,"['way', 'definitely', 'crazy', 'enough', 'threaten', 'kill', 'mass', 'boycott']"
789,711,Religion,Buddhism,Is this peace?,0,['peace']
790,712,Religion,Buddhism,My feeling about this as a Buddhist.,0,"['feel', 'buddhist']"
791,712,Religion,Buddhism,No feeling.,0,['feel']
792,712,Religion,Buddhism,haha....,0,['hata']
793,713,Religion,Buddhism,if you are a real buddhist you should not get upset.,0,"['real', 'buddhist', 'upset']"
794,713,Religion,Buddhism,"even in theravada buddhism, the supposed ""main"" buddhism, there are buddhist hymns and buddhist choirs.",0,"['even', 'buddhist', 'suppose', 'main', 'buddhist', 'buddhist', 'buddhist', 'choir']"
795,713,Religion,Buddhism,buddhist musicians.,0,"['buddhist', 'musician']"
796,713,Religion,Buddhism,buddhist techno is an evolution.,0,"['buddhist', 'teno', 'evolution']"
797,713,Religion,Buddhism,respect.,0,['respect']
798,714,Religion,Buddhism,"this religion embracing the future, using technology & music style to push their teachings.",0,"['religion', 'embrace', 'future', 'use', 'technology', 'music', 'style', 'push', 'teaching']"
799,715,Religion,Buddhism,humans are easily confused by many things.,0,"['human', 'easily', 'confuse', 'many', 'thing']"
800,715,Religion,Buddhism,Even monks also get confused.,0,"['even', 'monk', 'also', 'get', 'confused']"
801,716,Religion,Buddhism,Buddhism is not really a religion.,0,"['buddhist', 'really', 'religion']"
802,716,Religion,Buddhism,In order to qualify as a religion... there has to be worship or believe in deities/gods...which Buddhism doesnt teach.,0,"['order', 'qualify', 'religion', 'worship', 'believe', 'deitiesgod', 'buddhist', 'teach']"
803,717,Religion,Buddhism,Buddhism is not a real religion.,1,"['buddhist', 'real', 'religion']"
804,718,Religion,Buddhism,These devout monks really practiced what they preached .,0,"['monk', 'really', 'practice', 'preach']"
805,718,Religion,Buddhism,well large majority of them anyway.,0,"['large', 'majority', 'anyway']"
806,718,Religion,Buddhism,Their role have been mocked/satirized/cheapened/villianized /hamsapfied in so many ways by the capitalistic world and humans .,0,"['role', 'mockedsatirizedcheapenedvillianize', 'hamsapfie', 'many', 'way', 'capitalist', 'world', 'human']"
807,721,Gender,Female,women are built to be hypergamous sluts,1,"['woman', 'build', 'hypergamous', 'slum']"
808,723,Gender,Female,sluts who do this shit should be crucified for the good of society.,1,"['crucify', 'good', 'society']"
809,723,Gender,Female,Our soyciety started unraveling fast as soon as we fucked traditional gender norms.,1,"['society', 'start', 'unravel', 'fast', 'soon', 'tuck', 'traditional', 'gender', 'form']"
810,726,Gender,Male,Men are supposed to provide!!,0,"['man', 'suppose', 'provide']"
811,726,Gender,Male,"Even if I'm a feminist woman and I hate sexism, men are still supposed to be the breadwinners!",0,"['even', 'feminist', 'woman', 'hate', 'exist', 'man', 'still', 'suppose', 'breadwinner']"
812,727,Gender,Male,"You know how there a stereotype of ""women not knowing what they want""?",0,"['know', 'stereotyped', 'woman', 'ignore', 'want']"
813,727,Gender,Male,Well it's the same for men.,0,['man']
814,728,Gender,Male,Men are deserved to be cheated,1,"['man', 'deserve', 'create']"
815,729,Gender,Male,he doesn't even deserve to be called a man.,0,"['even', 'deserve', 'call', 'man']"
816,730,Gender,Male,All males are abusers.,1,"['male', 'abuse']"
817,731,Gender,Female,"That's wrong, never put your hand on a woman.",0,"['wrong', 'never', 'put', 'hand', 'woman']"
818,731,Gender,Female,Never!,0,['never']
819,732,Gender,Female,Beat her up.,1,['seat']
820,738,Gender,Male,the loneliness of men is going to get worse,0,"['loneliness', 'man', 'get', 'bad']"
821,739,Gender,Female,My temples have been burning up out of anger and the only thing that could fix it is some vagina,0,"['temple', 'burn', 'anger', 'thing', 'fix']"
822,742,Race,Chinese,I broke a trash door of this Chink house.,1,"['break', 'trash', 'door', 'think', 'house']"
823,746,Gender,Female,"Gyms are brothels nowadays, women dress like sluts.",1,"['eye', 'brothel', 'nowadays', 'woman', 'dress', 'slum']"
824,747,Gender,Female,"i do not hate them, i am just super jealous of them, everything for them is so fucking easy.",0,"['love', 'super', 'jealous', 'fuck', 'easy']"
825,748,Gender,Female,is there any part of their life thats even a bit harder than ours?,0,"['part', 'life', 'even', 'bit', 'hard']"
826,749,Gender,Female,unwanted pregnancy?,0,"['unwanted', 'pregnancy']"
827,749,Gender,Female,just use a condom,0,['use']
828,750,Gender,Female," i have never seen a women get paid less than me for doing the same job, any study that's shows otherwise is lying those fuckers dont take into account economic geography, worked hours or even job positions.",0,"['never', 'see', 'woman', 'pay', 'less', 'job', 'study', 'show', 'otherwise', 'lie', 'quaker', 'take', 'account', 'economic', 'geography', 'work', 'hour', 'even', 'job', 'position']"
829,751,Race,Indian,i despise them they have treated me like shit my entire life i try to avoid them at all cost,0,"['despise', 'treat', 'shit', 'entire', 'life', 'avoid', 'cost']"
830,752,Gender,Female,"Only interaction I have with them is when they are doing there job, very rare for me to talk to them whilst not",0,"['interaction', 'job', 'rare', 'talk']"
831,753,Gender,Male,Creepy men just can't leave me alone with their predatory eyes.,1,"['freely', 'man', 'leave', 'alone', 'predator', 'eye']"
832,754,Gender,Female,Shut up you fucking attention seeking retard,1,"['hut', 'fuck', 'attention', 'seek', 'retard']"
833,756,Gender,Male,I am tired of getting rejected by man.,0,"['tired', 'reject', 'man']"
834,757,Gender,Female,Only men can truly love.,1,"['man', 'truly', 'love']"
835,757,Gender,Female,"Women can't, they are all soulless demons, their ""love"" is always conditional (money, status, looks, etc).",1,"['woman', 'soulless', 'demon', 'love', 'always', 'conditional', 'money', 'status', 'look']"
836,759,Gender,Female,Tired of seeing women on the streets.,1,"['tired', 'see', 'woman', 'street']"
837,759,Gender,Female,Time to kidnap a woman and forcibly marry and sex her.,1,"['kidnap', 'woman', 'forcibly', 'marry', 'sex']"
838,760,Gender,Female,I want to sex trafficking woman so bad.,1,"['want', 'sex', 'traffic', 'woman', 'bad']"
839,761,Gender,Female,Women are our food.,1,"['woman', 'food']"
840,761,Gender,Female,Women are our property.,1,"['woman', 'property']"
841,763,Gender,Female,"They exist for our pleasure, to further our quality of life.",1,"['exist', 'pleasure', 'quality', 'life']"
842,764,Gender,Female,I want all females to be enslaved to my will.,1,"['want', 'female', 'enslave']"
843,765,Race,Indian,They should be wearing traditional hand made cotton sarees rather than those shitty western clothes,1,"['wear', 'traditional', 'hand', 'make', 'cotton', 'spree', 'rather', 'western', 'clothe']"
844,766,Race,Foreigner,Western clothes should be illegal in non-western countries.,1,"['western', 'clothe', 'illegal', 'nonwestern', 'country']"
845,767,Gender,Female,we are animals in clothes and other animals are known to rape so is it natural then,1,"['animal', 'clothe', 'animal', 'know', 'rape', 'natural']"
846,768,Race,Indian,The average indian looks like an inbred bonobo.,1,"['indian', 'look', 'inure', 'booby']"
847,769,Gender,Male,These males should be put on the sex offender registry for life for any hate speech uttered on the internet-- these people do not deserve a chance in life.,1,"['male', 'put', 'sex', 'offender', 'registry', 'life', 'hate', 'speech', 'utter', 'internet', 'people', 'deserve', 'chance', 'life']"
848,770,Gender,Male,Hopefully when they are put on a list they will just fucking kill themselves,1,"['hopefully', 'put', 'list', 'fucking', 'kill']"
849,772,Gender,Male,Every 15 yo male shorter than 5'11 should be castrated and put in special schools tbh,1,"['male', 'short', 'castrate', 'put', 'special', 'school', 'th']"
850,773,Gender,Female,women can only be interested in men if they are conventionally attractive,0,"['woman', 'interested', 'man', 'conventional', 'attractive']"
851,774,Gender,Female,you cant be a fan of this thing i like because you're a woman,1,"['fan', 'thing', 'woman']"
852,775,Gender,Female,Delusional female echo chamber.,0,"['delusional', 'female', 'echo']"
853,776,Gender,Female,Every day I hate women more.,1,"['day', 'hate', 'woman']"
854,777,Religion,Multiple,I been to places of worship for Hinduism and Buddhism,0,"['place', 'worship', 'hinduism', 'buddhist']"
855,778,Race,Multiple,"We found tens of thousands of artefacts here from China, India and Arabia.",0,"['find', 'ten', 'thousand', 'artefact']"
856,778,Race,Multiple,It shows that trading occurred,0,"['show', 'trading', 'occur']"
857,779,Religion,Islam,"Sadly this is the truth, if it is found as an early islamic center i believe already turn into a tourist spot.",0,"['badly', 'truth', 'find', 'early', 'islamic', 'center', 'believe', 'already', 'turn', 'tourist', 'spot']"
858,779,Religion,Islam,We all knew that by history Hinduism & buddism reach here way early before Islam.,0,"['know', 'history', 'hinduism', 'bud', 'reach', 'way', 'early', 'slam']"
859,780,Race,Malay,Malay history did not start from Kesultanan Melaka only,0,"['history', 'start']"
860,781,Race,Multiple,non as always being professional victim,1,"['non', 'always', 'professional', 'victim']"
861,782,Race,Malay,"tell these locals to just mind their own business and work hard to earn a living la, these sites are no longer used for hindiusm and bhudist rites anymore.",0,"['tell', 'local', 'mind', 'business', 'work', 'hard', 'earn', 'live', 'site', 'long', 'use', 'hindiusm', 'bhudist', 'rate', 'anymore']"
862,782,Race,Malay,If there were tourists coming would these locals complain if there was income coming in,0,"['tourist', 'come', 'local', 'complain', 'income', 'come']"
863,783,Race,Malay,Our government won't promote Malay history or culture if it's not related to Islam.,0,"['government', 'promote', 'malay', 'history', 'culture', 'relate', 'slam']"
864,784,Race,Malay,Is he a Malay?,0,[]
865,785,Religion,Multiple,Malaysia government really is treating its non-Muslim history like trash.,0,"['government', 'really', 'treat', 'nonslim', 'history', 'trash']"
866,787,Religion,Buddhism,It's good that these buddha statues are destroyed.,1,"['good', 'buddha', 'statue', 'destroy']"
867,788,Religion,Islam,They scare suddenly the whole place will not longer be Islam anymore,0,"['scare', 'suddenly', 'whole', 'place', 'long', 'slam', 'anymore']"
868,789,Religion,Buddhism,"Like Taliban blowing up their Buddhist statues, what's the fuss?",1,"['blow', 'buddhist', 'statue', 'fuss']"
869,790,Religion,Multiple,Here we ban anything non-Islamic.,0,"['ban', 'nonislamic']"
870,790,Religion,Multiple,"Look at what happened to Wayang Kulit, Makyong, etc.",0,"['take', 'happen', 'say', 'build', 'makyong']"
871,790,Religion,Multiple,?,0,[]
872,791,Religion,Hinduism,They are Malay culture but heavily influenced by Hinduism.,0,"['malay', 'culture', 'heavily', 'influence', 'hinduism']"
873,792,Religion,Multiple,Whole of Malaysia was Hindu Buddhist until Parameswara's son or some say Parameswara himself masuk Islam.,0,"['whole', 'hindu', 'buddhist', 'son', 'say']"
874,794,Religion,Christianity,Who are these international experts??,1,"['international', 'expert']"
875,794,Religion,Christianity,It is all Christian agenda!!!,1,[]
876,794,Religion,Christianity,!,1,[]
877,795,Religion,Hinduism,kesultanan melaka also started by parameswara.,0,"['also', 'start', 'parameswara']"
878,795,Religion,Hinduism,do parameswara sound arabic to you?,0,"['sound', 'arabic']"
879,795,Religion,Hinduism,parameswara bin abdullah?,0,[]
880,795,Religion,Hinduism,he is hindu,0,['hindu']
881,796,Religion,Islam,"Islamic site, confirm promote.",0,"['islamic', 'site', 'confirm', 'promote']"
882,796,Religion,Islam,"Other religion site, krik.. krik.. krik...",0,"['religion', 'site']"
883,797,Gender,Male,There Are Too Many Men In My Neighborhood,1,['man']
884,798,Gender,Male,"I'm scared to run in the mornings because they roam at all hours of the day yelling, screaming, etc",1,"['scared', 'run', 'morning', 'hour', 'day', 'yell', 'scream']"
885,799,Gender,Male,"I understand that men exist everywhere and I can't control where they are, but for fucks sake I want peace!",1,"['understand', 'man', 'exist', 'everywhere', 'control', 'suck', 'sake', 'want', 'peace']"
886,800,Gender,Male,men like to harass women as a game.,1,"['man', 'grass', 'woman', 'game']"
887,800,Gender,Male,It's a way they bond.,1,"['way', 'bond']"
888,800,Gender,Male,They see it as harmless greetings and trying to make conversation.,1,"['see', 'harmless', 'greeting', 'make', 'conversation']"
889,800,Gender,Male,They don't pay attention at all to the fact that they are making you feel uncomfortable.,1,"['pay', 'attention', 'fact', 'make', 'feel', 'uncomfortable']"
890,801,Race,Indian,are these indians?,0,['indian']
891,801,Race,Indian,they always stand around in hordes,0,"['always', 'stand', 'horde']"
892,802,Gender,Male,This girl is offended as men don't treat her free meal in Michelin restaurant,0,"['girl', 'offend', 'man', 'treat', 'free', 'meal', 'michelin', 'restaurant']"
893,803,Race,Foreigner,I don't actually care about you in whatever 3rd world shithole you live in.,1,"['actually', 'care', 'live']"
894,804,Gender,Female,Strangle them all,1,['strangle']
895,805,Race,Chinese,Chinese is all fake as fuck,1,"['chinese', 'face', 'fuck']"
896,806,Race,Malaysian,I believe in middle path.,0,"['believe', 'middle', 'path']"
897,806,Race,Malaysian,All malysian should exercise middle path regardless religion for long lasting peace and harmony,0,"['malysian', 'exercise', 'middle', 'path', 'regardless', 'religion', 'long', 'last', 'peace', 'harmony']"
898,807,Religion,Buddhism,Buddhism is the middle path,0,"['buddhist', 'middle', 'path']"
899,808,Religion,Buddhism,Good Buddhist means do good and normally Buddhism not related to any god.,0,"['good', 'buddhist', 'mean', 'good', 'normally', 'buddhist', 'relate']"
900,808,Religion,Buddhism,This is because Buddhism is actually really way of life.,0,"['buddhist', 'actually', 'really', 'way', 'life']"
901,808,Religion,Buddhism,Not religion.,0,['religion']
902,808,Religion,Buddhism,But it can become religion if you dig too deep.,0,"['become', 'religion', 'dig', 'deep']"
903,809,Religion,Buddhism,don't do any digging in Buddhism.,1,"['dig', 'buddhist']"
904,810,Race,Malaysian,"Malaysians drivers: who follow law , who bodoh",0,"['malaysian', 'driver', 'follow', 'law']"
905,811,Religion,Buddhism,in my opinion that's very conservative.,0,"['opinion', 'conservative']"
906,811,Religion,Buddhism,Not even middle path,0,"['even', 'middle', 'path']"
907,813,Religion,Islam,God's will most important,0,['important']
908,814,Religion,Multiple,this is a serious impact on national education policy punishes Non-Muslims for just existing with non-Muslim economic activities,0,"['serious', 'impact', 'national', 'education', 'policy', 'punish', 'onmuslim', 'exist', 'nonslim', 'economic', 'activity']"
909,815,Religion,Islam,"Sejarah is a subject for all citizens, and they can make logic that the majority needs to learn Islamic values and history (although that logic might be flawed) since the majority practices Islam.",0,"['subject', 'citizen', 'make', 'logic', 'majority', 'need', 'learn', 'islamic', 'value', 'history', 'logic', 'flow', 'majority', 'practice', 'slam']"
910,816,Religion,Multiple,"Moral Education is a subject taken exclusively by non-Muslims, mandatory for non-Muslims.",0,"['moral', 'education', 'subject', 'take', 'exclusively', 'nonmuslim', 'mandatory', 'nonmuslim']"
911,816,Religion,Multiple,"Now where's the logic in their defense for vilifying normal non-Muslim acts as ""morally questionable"" to be a moral dilemma in a national textbook?",0,"['defense', 'verify', 'normal', 'nonslim', 'act', 'morally', 'questionable', 'moral', 'dilemma', 'national', 'textbook']"
912,818,Religion,Buddhism,"Buddhist temples only exist becos rich businessmen donated money to ""balance up"" their bad karma which they do all the time.",1,"['buddhist', 'temple', 'exist', 'become', 'rich', 'businessman', 'donate', 'money', 'balance', 'bad', 'parma', 'time']"
913,819,Religion,Buddhism,"Technically most Malaysian Chinese practice Taoism, but Taoism entered the populace vocabulary later than Buddhism.",0,"['technically', 'malaysian', 'chinese', 'practice', 'racism', 'racism', 'enter', 'populace', 'vocabulary', 'later', 'buddhist']"
914,819,Religion,Buddhism,"So in the world today, we see different types (or in other vocab, sects) of Buddhism.",0,"['world', 'today', 'see', 'different', 'type', 'vocal', 'sect', 'buddhist']"
915,822,Religion,Islam,Pendidikan Moral become Pendidikan Agama,0,"['pendidikan', 'moral', 'become', 'game']"
916,823,Race,Malay,bifoti education.,1,[]
917,823,Race,Malay,Taught by bifoti guided by bifoti too.,1,['catch']
918,825,Race,Foreigner,concerts by foreign artistes are automatically hedonistic,1,"['concert', 'foreign', 'artist', 'automatically', 'hedonistic']"
919,826,Race,Foreigner,Is it true tho concerts by foreign artistes are automatically hedonistic?,0,"['true', 'concert', 'foreign', 'artist', 'automatically', 'hedonistic']"
920,828,Religion,Islam,Can someone explain why concerts are prohibited in Islam?,0,"['explain', 'concert', 'prohibit', 'slam']"
921,830,Race,Malay,"it was like their thoughts, that we run the business like they run the country.",0,"['thought', 'run', 'business', 'run', 'country']"
922,830,Race,Malay,"No planning, no thinking.",0,"['planning', 'forget']"
923,830,Race,Malay,"Tomorrow problems are tomorrow's, even today's problem is tomorrow's.� culture",0,"['tomorrow', 'problem', 'tomorrow', 'even', 'today', 'problem', 'culture']"
924,831,Religion,Islam,Only fools like u guys can lose ur faith after attending a Sam Smith concert,0,"['fool', 'u', 'gun', 'lose', 'faith', 'attend']"
925,833,Religion,Islam,Certain religion makes u bodo.,1,"['certain', 'religion', 'make', 'u', 'body']"
926,834,Race,Chinese,"why the chinese in my school always act like chow ah beng, no manners",1,"['chinese', 'always', 'act', 'manner']"
927,835,Religion,Buddhism,"the sky is watching, and it can determine the people's good and evil...",0,"['sky', 'watch', 'determine', 'people', 'good', 'evil']"
928,836,Religion,Buddhism,they donated so much but did they really practice buddhism themselves?,1,"['donate', 'much', 'really', 'practice', 'buddhist']"
929,837,Race,Malay,"Malays think they are very moral, brave and unbeatable when they perform silat, breaking sticks and somersault in front of the grassland",1,"['always', 'think', 'moral', 'brave', 'unbearable', 'perform', 'sila', 'break', 'stick', 'somersault', 'front', 'grassland']"
930,839,Religion,Islam,in Malaysia a lot of breeders that shouldn't make babies breed like terrorist wild hogs.,1,"['lot', 'bleeder', 'make', 'baby', 'breed', 'terrorist', 'wild', 'hog']"
931,840,Religion,Unknown, belief in God is the principle of Malaysia.,0,['belief']
932,841,Religion,Unknown,I have a religion.,0,['religion']
933,842,Religion,Multiple,"i don't care that you believed in any skydaddy, just don't force it on others.",0,"['care', 'believe', 'force', 'other']"
934,842,Religion,Multiple,it's that simple.,0,['simple']
935,843,Religion,Multiple,We are not in secular state and it is impossible for Malaysia becoming secular state.,0,"['secular', 'state', 'impossible', 'malaysia', 'become', 'secular', 'state']"
936,843,Religion,Multiple,Malaysia is religion states.,0,"['religion', 'state']"
937,844,Religion,Hinduism,indian hindu got nothing better to do?,1,"['indian', 'hindu', 'get', 'well']"
938,844,Religion,Hinduism,nonstop drinking,1,"['nonstop', 'drinking']"
939,845,Race,Indian,Indians are the kind of people who love to drown in cow excrement.,1,"['kind', 'people', 'love', 'drown', 'cow', 'excrement']"
940,846,Religion,Hinduism,he should follow hindu tradition like grandpa.,0,"['follow', 'hindu', 'tradition', 'grand']"
941,846,Religion,Hinduism,not behave like crazy middle eastern,0,"['misbehave', 'crazy', 'middle', 'eastern']"
942,847,Race,Indian,there are certain Indian individuals causing trouble once they are drunk.,0,"['certain', 'indian', 'individual', 'cause', 'trouble', 'drink']"
943,847,Race,Indian,of course many are not but this affect the general impression of others on them,0,"['course', 'many', 'affect', 'general', 'impression', 'other']"
944,848,Religion,Islam,hamas is not extremist right wing?,0,"['extremist', 'right', 'wing']"
945,848,Religion,Islam,taliban is not?,0,['italian']
946,848,Religion,Islam,their ultimate goal is to establish a kingdom where only ppl who share the same ideology with them live.,0,"['ultimate', 'goal', 'establish', 'kingdom', 'share', 'ideology', 'live']"
947,850,Race,Indian,They need these videos to feel good and compare how powerful super india is,0,"['need', 'video', 'feel', 'good', 'compare', 'powerful', 'super', 'india']"
948,851,Religion,Hinduism,Wat bisnes does a Hindu got in bars & clubs?,1,"['bone', 'hindu', 'get', 'bar', 'club']"
949,851,Religion,Hinduism,!,1,[]
950,852,Religion,Multiple,"if i say someone is kafir, it simply means that person does not believe in islam.",0,"['say', 'hair', 'simply', 'mean', 'person']"
951,853,Religion,Hinduism,Scared kena rape.,0,"['scared', 'kent', 'rape']"
952,853,Religion,Hinduism,Korea also alot of clubs ban them from entry,0,"['also', 'clot', 'club', 'ban', 'entry']"
953,854,Race,Indian,You call Indian Muslim as mamak.,0,"['indian', 'slim', 'maman']"
954,854,Race,Indian,Can Arabs be called mamak too?,0,"['grab', 'call', 'maman']"
955,854,Race,Indian,Are they the same?,0,[]
956,854,Race,Indian,They look the same no difference.,0,"['look', 'sameness']"
957,855,Religion,Hinduism,The temple is actually built by some Hindu organization.,0,"['actually', 'build', 'hindu', 'organization']"
958,855,Religion,Hinduism,They are quite rich to be honest.,0,"['quite', 'rich', 'honest']"
959,855,Religion,Hinduism,They currently have the largest temple outside India is the USA,0,"['currently', 'large', 'temple']"
960,856,Race,Indian, The migrant workers there are technically modern day slaves.,0,"['emigrant', 'worker', 'technically', 'modern', 'day', 'slave']"
961,856,Race,Indian,"They're housed out of the city, basically in the middle of the dessert and not allowed to visit the city.",0,"['city', 'basically', 'middle', 'dessert', 'allow', 'visit', 'city']"
962,856,Race,Indian,Like banned.,0,['banner']
963,857,Race,Chinese,why you wasting time replaying a sohai brainless racist CCP wumao?,1,"['waste', 'time', 'reply', 'sofa', 'painless', 'racism', 'woman']"
964,858,Religion,Hinduism,Please spread the virtue of hinduism to those people,0,"['spread', 'virtue', 'hinduism', 'people']"
965,859,Religion,Islam,"U go to India, people wearing hijab also kena rotan",0,"['go', 'people', 'wear', 'hiram', 'also', 'kent', 'roman']"
966,860,Race,Malay,The Malaysian Malays act more Arab than Arab themselves,0,"['always', 'act', 'arab', 'arab']"
967,861,Religion,Hinduism,Soon....there will be Hindutva mobs terrorizing muslims in Abu Dhabi.,1,"['soon', 'hindutva', 'mob', 'terrorise', 'habit']"
968,862,Religion,Hinduism,Later when India want Thaipusam & Deepavali then how?,1,"['later', 'want']"
969,863,Religion,Islam,Better than suicide bomber middle of jakarta or hatyai or bangkok,1,[]
970,864,Religion,Hinduism,Hahaha!,0,[]
971,864,Religion,Hinduism,"Unfortunately, Hinduism is something you're born into not something you can convert.",0,"['unfortunately', 'hinduism', 'bear', 'convert']"
972,864,Religion,Hinduism,But everything can do now if you got the money.,0,"['get', 'money']"
