No,Category,SubCategory1,Post,HateSpeech
652,Race,Indian,Almost like some dark skinned and unwashed anneh raped their grandpa when he was a kid. ,1
653,None,None,"If this happens, the gangsters will earn the big bucks supplying weapons and ammunitions to home owners.",0
654,Race,Chinese,"is okay. just let them, and leave them alone. we chinese focus ourself will do..... they warn us don't interrupt them....",0
655,Religion,Christianity,"you can sell with jesus photo, and no church members will come and threaten you.",0
656,Race,Multiple,"For me, I'll support the shop with friendlier attitude. If the cheaper one is lansi, I'll boycott it. Both cases are regardless of the race of the owners.",0
657,Race,Malaysian,"now PMX got reason to say why Malaysia economy is bad, because Malaysian killing own Malaysian business.",0
658,None,None,this kind of people really nitpicky look for something silly just to make their life miserable more than it already is,0
659,Religion,Islam,These muslims so easy to be manipulated,0
660,Race,Chinese,chinese eat rice from a bowl with spoon?,0
661,Religion,Islam,Chinese don't wear tudung. Burn it.,1
662,Race,Multiple,Yer cant trust muslim convert,1
663,Religion,Islam,Muslim friendly isnt halal. Its like saying pork free or alcohol free. It sounds rhe same but means 2 diff things.,0
664,Race,Foreigner,"They even consume rare food, do you think they care?",0
665,Religion,Islam,Muslim only resort is to KILL KILL KILL DESTROY DESTROY DESTROY,1
666,Religion,Buddhism,I am now pursuing the best solution by engaging in various Buddhist activities. I am writing extensively about Buddhist theory in a book to deepen my understanding of Buddhism.,0
667,Religion,Buddhism,I have joined a Buddhist group in Singapore where I volunteer to cook vegetarian meals for those who come to the temple to chant Buddhist scriptures,0
668,Religion,Buddhism,I will consider ordaining as a monk when I reach the age of 45 or 55,0
669,Religion,Buddhism,"If this life is chosen as a human birth, we can learn Buddhism. However, in the next life, we may not necessarily be born human, so it is important to learn Buddhism.",0
670,Gender,Female,"Disregard hoes, acquire assets",0
671,Gender,Female,"instead of find girlfriend, let girlfriend find you. post on tinder, instagrram, facebook etc etc. show your handsome face, abs, guns, cash sure get girls.",0
672,Gender,Male,"Unless a woman is looking for you when she has just turned legal, you are only seen as an ATM.",1
673,Gender,Female," a woman who is interested in just you, will help build a stable financial future together ... just something to remember.",0
674,Gender,Female,they don't make women like in the past. Women nowadays useless and fat.,1
675,None,None,Grandma leg big problem. Now walk also need tongkat,0
676,None,None,"All like to stay home? But if no children,sure work right?",0
677,Gender,Female,"ur grandma probably is stuck in the past when women were much simpler and would be OK with any man they meet. nowadays, women are the one choosing their partners.",0
678,Gender,Female,"Some woman no children also want to be stay at home partner. Even stay at home also she will be useless by not doing housework, cooking and even sex. She knows she can get away with doing nothing and the husband can't even lay a finger on her.",1
679,Gender,Female,"Ur gramps want u to marry, ask her to find a decent women who will stick with u even when u have nothing.",0
680,Gender,Female,You are the only woman I look up to.,0
681,Gender,Female,Typical feminist bodoh.,1
682,Gender,Female,Women are all bodoh,1
683,None,None,dont listen to your grandma. her advise no longer works in today's world.,0
684,None,None,"Nobody is perfect, and instead of striving for perfection, one should focus on finding happiness with the good things that surround them.",0
685,Gender,Female,Some woman beat husband.,1
686,Gender,Female,"Other bitches shopping luxury no return, only full of lust garnering and pasal finding.",1
687,None,None,"My wife shop luxury is to gift people, and obtain good returns from friendshipping investment.",0
688,None,None,no one in their right mind would look for relationship until they are success or at least stable financial,0
689,None,None,Food prices have skyrocketed    ,0
690,None,None,I am now pursuing the best solution by engaging in various Buddhist activities. I am writing extensively about Buddhist theory in a book to deepen my understanding of Buddhism.,0
691,Religion,Christianity,Christianity gets disrespected way too openly,0
692,None,None,This is so wrong and disrespectful,0
693,None,None,Real life ghost,0
694,Race,Indian,If white skin better,1
695,Religion,Christianity,"So Christians now have a right to physically attack her right , Malaysians ? Surround her house ? Petrol bomb her ?",1
696,Religion,Multiple,"I’m lost for words. Religion is a sensitive and personal thing - doesn’t matter whether it’s Islam or Buddhism or Hinduism or Christianity. It’s just disrespectful that it should be manipulated for fame, political gain or power.",0
697,Religion,Christianity,Christians will complain but won't threaten violence.,0
698,Religion,Islam,Switch to Islam and barbaric muslims will be openly calling for her death,1
699,Religion,Islam,Wonder why local Islam not joining the MCCBCHST to promote more understanding and harmony among faiths?,0
700,Religion,Multiple,Ignore that fake non Muslim. He is not convincing at all.,0
701,Religion,Buddhism,You should not interfere in Islamic affairs. You are only a Buddhist.,1
702,None,None,The busybody is asking others to not be busybody,0
703,Religion,Multiple,It will affect you kafirs eventually.,0
704,Religion,Islam,"U think all muslim is ""real"" muslim or has name in IC only. I can tell it will not work.",0
705,None,None,An eye for an eye leaves the World blind,0
706,Religion,Islam,I thought got some Quran phrases to see here,0
707,Religion,Buddhism,Don't challenge us! We are very sensitive!,0
708,Religion,Buddhism,You just posted the root cause to earthquake,1
709,Religion,Buddhism,"Death to buddha, Boycott buddhists, Petrol bomb buddhists",1
710,None,None,"when the inner peace is secured - nothing can disturb it, not words uttered, not sentences, not items. the disruption can only happen if one allows it from within. humans tend to find the fault elsewhere when it almost always stems from somewhere deep within",0
711,Religion,Buddhism,"He have his way, some like it, some don't, but definitely no one will be crazy enough to viralkan, threatened to kill or mass boycott. Is this peace?",0
712,Religion,Buddhism,My feeling about this as a Buddhist. No feeling. haha....,0
713,Religion,Buddhism,"if you are a real buddhist you should not get upset. even in theravada buddhism, the supposed ""main"" buddhism, there are buddhist hymns and buddhist choirs. buddhist musicians. buddhist techno is an evolution. respect.",0
714,Religion,Buddhism,"this religion embracing the future, using technology & music style to push their teachings.",0
715,Religion,Buddhism,humans are easily confused by many things. Even monks also get confused.,0
716,Religion,Buddhism,Buddhism is not really a religion. In order to qualify as a religion... there has to be worship or believe in deities/gods...which Buddhism doesnt teach.,0
717,Religion,Buddhism,Buddhism is not a real religion. ,1
718,Religion,Buddhism,These devout monks really practiced what they preached . well large majority of them anyway. Their role have been mocked/satirized/cheapened/villianized /hamsapfied in so many ways by the capitalistic world and humans .,0
719,None,None,Better to fuck prostitutes than settle that low tbh.,0
720,None,None,"She’s probably trying to find other guys tho and only dating you for money, desperation and pity",0
721,Gender,Female,women are built to be hypergamous sluts,1
722,None,None,"Some people idealize a lot of aspects of their ""dream"" partner but then they aren't ready to tackle the reality of it. It's a human thing.",0
723,Gender,Female,sluts who do this shit should be crucified for the good of society. Our soyciety started unraveling fast as soon as we fucked traditional gender norms.,1
724,None,None,He's obsessed with Legos and loves to talk about them (remember he's in his late 30's). He will ramble on and on about Legos for hours if you let him.,0
725,None,None,he never valued your relationship,0
726,Gender,Male,"Men are supposed to provide!! Even if I'm a feminist woman and I hate sexism, men are still supposed to be the breadwinners! ",0
727,Gender,Male,"You know how there a stereotype of ""women not knowing what they want""? Well it's the same for men.",0
728,Gender,Male,Men are deserved to be cheated,1
729,Gender,Male,he doesn't even deserve to be called a man.,0
730,Gender,Male,All males are abusers.,1
731,Gender,Female,"That's wrong, never put your hand on a woman. Never!",0
732,Gender,Female,Beat her up.,1
733,None,None,"it's so fucking insufferable man everyone in my ""family"" constantly screams I hate this shit , I truly hate it.",0
734,None,None,"My grandmother, aunt and mother are all the same. They are all insane.",0
735,None,None,"I live in a shithole where most people are mentally ill but unaware of it , never diagnosed since therapy is unheard of. I'd say half of the people here are mentally ill without knowledge. This is what happens when you live in a poor shithole.",0
736,None,None,Ive been feeling so explosive. I have so much rage inside of me and it’s only been building up for the past 4 days. Fuck these people.,0
737,None,None,I have no real friends to vent to and my fucking dad wouldn’t understand even if I bothered explaining.,0
738,Gender,Male,the loneliness of men is going to get worse,0
739,Gender,Female,My temples have been burning up out of anger and the only thing that could fix it is some vagina,0
740,None,None,My condolences,0
741,None,None,"I lost the ability to scream, it hurts when I do try. My body literally wont let me vent. Im just here to experience rage with no end",0
742,Race,Chinese,I broke a trash door of this Chink house.,1
743,None,None,"I would say I'm fairly good at controlling myself, but sometimes, I just have to let it out. Screaming into a pillow helps a lot, and also reduced the need for me to physically release my frustrations/anger.",0
744,None,None,I just broke my room door.,0
745,None,None,Sometimes I just lay motionless from the pain and depression,0
746,Gender,Female,"Gyms are brothels nowadays, women dress like sluts.",1
747,Gender,Female,"i do not hate them, i am just super jealous of them, everything for them is so fucking easy.",0
748,Gender,Female,is there any part of their life thats even a bit harder than ours?,0
749,Gender,Female,unwanted pregnancy? just use a condom,0
750,Gender,Female," i have never seen a women get paid less than me for doing the same job, any study that's shows otherwise is lying those fuckers dont take into account economic geography, worked hours or even job positions.",0
751,Race,Indian,i despise them they have treated me like shit my entire life i try to avoid them at all cost,0
752,Gender,Female,"Only interaction I have with them is when they are doing there job, very rare for me to talk to them whilst not",0
753,Gender,Male,Creepy men just can't leave me alone with their predatory eyes.,1
754,Gender,Female,Shut up you fucking attention seeking retard,1
755,None,None,Most sex workers don’t even want anything to do with sex in their free time.,0
756,Gender,Male,I am tired of getting rejected by man.,0
757,Gender,Female,"Only men can truly love. Women can't, they are all soulless demons, their ""love"" is always conditional (money, status, looks, etc).",1
758,None,None,"What people call ´love´, is just a chemical reaction in the brain called ´dopamine´. Dopamine levels wear off overtime, hence why people lose attraction for eachother and Breakup",0
759,Gender,Female,Tired of seeing women on the streets. Time to kidnap a woman and forcibly marry and sex her.,1
760,Gender,Female,I want to sex trafficking woman so bad.,1
761,Gender,Female,Women are our food. Women are our property.,1
762,None,None,I just bought this property.,0
763,Gender,Female,"They exist for our pleasure, to further our quality of life.",1
764,Gender,Female,I want all females to be enslaved to my will.,1
765,Race,Indian,They should be wearing traditional hand made cotton sarees rather than those shitty western clothes ,1
766,Race,Foreigner,Western clothes should be illegal in non-western countries.,1
767,Gender,Female,we are animals in clothes and other animals are known to rape so is it natural then,1
768,Race,Indian,The average indian looks like an inbred bonobo. ,1
769,Gender,Male,These males should be put on the sex offender registry for life for any hate speech uttered on the internet-- these people do not deserve a chance in life.,1
770,Gender,Male,Hopefully when they are put on a list they will just fucking kill themselves,1
771,None,None,Do you have a pervert at your workplace???? DO NOT TOLERATE THEM,0
772,Gender,Male,Every 15 yo male shorter than 5'11 should be castrated and put in special schools tbh,1
773,Gender,Female,women can only be interested in men if they are conventionally attractive,0
774,Gender,Female,you cant be a fan of this thing i like because you're a woman,1
775,Gender,Female,Delusional female echo chamber.,0
776,Gender,Female,Every day I hate women more.,1
777,Religion,Multiple,I been to places of worship for Hinduism and Buddhism,0
778,Race,Multiple,"We found tens of thousands of artefacts here from China, India and Arabia. It shows that trading occurred",0
779,Religion,Islam,"Sadly this is the truth, if it is found as an early islamic center i believe already turn into a tourist spot. We all knew that by history Hinduism & buddism reach here way early before Islam.",0
780,Race,Malay,Malay history did not start from Kesultanan Melaka only,0
781,Race,Multiple,non as always being professional victim,1
782,Race,Malay,"tell these locals to just mind their own business and work hard to earn a living la, these sites are no longer used for hindiusm and bhudist rites anymore. If there were tourists coming would these locals complain if there was income coming in",0
783,Race,Malay,Our government won’t promote Malay history or culture if it’s not related to Islam. ,0
784,Race,Malay,Is he a Malay?,0
785,Religion,Multiple,Malaysia government really is treating its non-Muslim history like trash.,0
786,None,None,Just kind of like Taliban thinking,0
787,Religion,Buddhism,It's good that these buddha statues are destroyed.,1
788,Religion,Islam,They scare suddenly the whole place will not longer be Islam anymore,0
789,Religion,Buddhism,"Like Taliban blowing up their Buddhist statues, what's the fuss?",1
790,Religion,Multiple,"Here we ban anything non-Islamic. Look at what happened to Wayang Kulit, Makyong, etc.?",0
791,Religion,Hinduism,They are Malay culture but heavily influenced by Hinduism.,0
792,Religion,Multiple,Whole of Malaysia was Hindu Buddhist until Parameswara's son or some say Parameswara himself masuk Islam.,0
793,None,None,So all it takes is one person to destroy the whole legacy for generations.,0
794,Religion,Christianity,Who are these international experts?? It is all Christian agenda!!!!,1
795,Religion,Hinduism,kesultanan melaka also started by parameswara. do parameswara sound arabic to you? parameswara bin abdullah? he is hindu,0
796,Religion,Islam,"Islamic site, confirm promote. Other religion site, krik.. krik.. krik...",0
797,Gender,Male,There Are Too Many Men In My Neighborhood,1
798,Gender,Male,"I'm scared to run in the mornings because they roam at all hours of the day yelling, screaming, etc",1
799,Gender,Male,"I understand that men exist everywhere and I can't control where they are, but for fucks sake I want peace!",1
800,Gender,Male,men like to harass women as a game. It's a way they bond. They see it as harmless greetings and trying to make conversation. They don't pay attention at all to the fact that they are making you feel uncomfortable.,1
801,Race,Indian,are these indians? they always stand around in hordes,0
802,Gender,Male,This girl is offended as men don't treat her free meal in Michelin restaurant,0
803,Race,Foreigner,I don't actually care about you in whatever 3rd world shithole you live in.,1
804,Gender,Female,Strangle them all,1
805,Race,Chinese,Chinese is all fake as fuck,1
806,Race,Malaysian,I believe in middle path. All malysian should exercise middle path regardless religion for long lasting peace and harmony,0
807,Religion,Buddhism,Buddhism is the middle path,0
808,Religion,Buddhism,Good Buddhist means do good and normally Buddhism not related to any god. This is because Buddhism is actually really way of life. Not religion. But it can become religion if you dig too deep.,0
809,Religion,Buddhism,don't do any digging in Buddhism.,1
810,Race,Malaysian,"Malaysians drivers: who follow law , who bodoh",0
811,Religion,Buddhism,in my opinion that's very conservative. Not even middle path,0
812,None,None,In the case of medical emergency ... life should always be priority. just ran over the traffic light... being fined... bring proofs and appeal to the authority .,0
813,Religion,Islam,God's will most important,0
814,Religion,Multiple,this is a serious impact on national education policy punishes Non-Muslims for just existing with non-Muslim economic activities,0
815,Religion,Islam,"Sejarah is a subject for all citizens, and they can make logic that the majority needs to learn Islamic values and history (although that logic might be flawed) since the majority practices Islam.",0
816,Religion,Multiple,"Moral Education is a subject taken exclusively by non-Muslims, mandatory for non-Muslims. Now where's the logic in their defense for vilifying normal non-Muslim acts as ""morally questionable"" to be a moral dilemma in a national textbook?",0
817,None,None,"*The scary part is the ""truth"" can change anytime. And it might affect your future.",0
818,Religion,Buddhism,"Buddhist temples only exist becos rich businessmen donated money to ""balance up"" their bad karma which they do all the time.",1
819,Religion,Buddhism,"Technically most Malaysian Chinese practice Taoism, but Taoism entered the populace vocabulary later than Buddhism. So in the world today, we see different types (or in other vocab, sects) of Buddhism.",0
820,None,None,it doesn't matter if u hate concerts. u can choose not to go. but that doesn't mean u need to take away the rights of others from going,0
821,None,None,Pendidikan Moral is one of the most stupidest subject alive,0
822,Religion,Islam,Pendidikan Moral become Pendidikan Agama,0
823,Race,Malay,bifoti education. Taught by bifoti guided by bifoti too.,1
824,None,None,Are you jealous?,0
825,Race,Foreigner,concerts by foreign artistes are automatically hedonistic,1
826,Race,Foreigner,Is it true tho concerts by foreign artistes are automatically hedonistic?,0
827,None,None,Moral is probably one of the most useless subject available in schools today,0
828,Religion,Islam,Can someone explain why concerts are prohibited in Islam?,0
829,None,None,It is another brainwashing propaganda.,0
830,Race,Malay,"it was like their thoughts, that we run the business like they run the country. No planning, no thinking. Tomorrow problems are tomorrow’s, even today’s problem is tomorrow’s.” culture",0
831,Religion,Islam,Only fools like u guys can lose ur faith after attending a Sam Smith concert,0
832,None,None,"Always remember, the world doesnt revolve around you.",0
833,Religion,Islam,Certain religion makes u bodo.,1
834,Race,Chinese,"why the chinese in my school always act like chow ah beng, no manners",1
835,Religion,Buddhism,"the sky is watching, and it can determine the people's good and evil...",0
836,Religion,Buddhism,they donated so much but did they really practice buddhism themselves? ,1
837,Race,Malay,"Malays think they are very moral, brave and unbeatable when they perform silat, breaking sticks and somersault in front of the grassland",1
838,None,None," in future any more of such cases, let the police investigate.",0
839,Religion,Islam,in Malaysia a lot of breeders that shouldn't make babies breed like terrorist wild hogs.,1
840,Religion,Unknown, belief in God is the principle of Malaysia.,0
841,Religion,Unknown,I have a religion.,0
842,Religion,Multiple,"i don't care that you believed in any skydaddy, just don't force it on others. it's that simple.",0
843,Religion,Multiple,We are not in secular state and it is impossible for Malaysia becoming secular state. Malaysia is religion states.,0
844,Religion,Hinduism,indian hindu got nothing better to do? nonstop drinking,1
845,Race,Indian,Indians are the kind of people who love to drown in cow excrement.,1
846,Religion,Hinduism,he should follow hindu tradition like grandpa. not behave like crazy middle eastern,0
847,Race,Indian,there are certain Indian individuals causing trouble once they are drunk. of course many are not but this affect the general impression of others on them,0
848,Religion,Islam,hamas is not extremist right wing? taliban is not? their ultimate goal is to establish a kingdom where only ppl who share the same ideology with them live.,0
849,None,None,Remember this is a heavily edited video and twitter got a lot of edited fake narrative video inside it. You just have to find the ori source to get a bigger picture.,0
850,Race,Indian,They need these videos to feel good and compare how powerful super india is,0
851,Religion,Hinduism,Wat bisnes does a Hindu got in bars & clubs?!,1
852,Religion,Multiple,"if i say someone is kafir, it simply means that person does not believe in islam.",0
853,Religion,Hinduism,Scared kena rape. Korea also alot of clubs ban them from entry,0
854,Race,Indian,You call Indian Muslim as mamak. Can Arabs be called mamak too? Are they the same? They look the same no difference.,0
855,Religion,Hinduism,The temple is actually built by some Hindu organization. They are quite rich to be honest. They currently have the largest temple outside India is the USA,0
856,Race,Indian," The migrant workers there are technically modern day slaves. They're housed out of the city, basically in the middle of the dessert and not allowed to visit the city. Like banned.",0
857,Race,Chinese,why you wasting time replaying a sohai brainless racist CCP wumao?,1
858,Religion,Hinduism,Please spread the virtue of hinduism to those people,0
859,Religion,Islam,"U go to India, people wearing hijab also kena rotan",0
860,Race,Malay,The Malaysian Malays act more Arab than Arab themselves,0
861,Religion,Hinduism,Soon....there will be Hindutva mobs terrorizing muslims in Abu Dhabi.,1
862,Religion,Hinduism,Later when India want Thaipusam & Deepavali then how?,1
863,Religion,Islam,Better than suicide bomber middle of jakarta or hatyai or bangkok,1
864,Religion,Hinduism,"Hahaha! Unfortunately, Hinduism is something you're born into not something you can convert. But everything can do now if you got the money.",0
865,Religion,Islam,"Those land are ruled by the monarch. And those guys tend to claim that they are the descendant of the prophet. Besides, they kinda control what the holy land. So, what they say counts. If tomorrow they say, Trump is the Dajjal, then all the Islam nation, Imams and all need to agree. Who are there to go against the family of Muhammad?",0
866,Religion,Islam,the Islam the Malays practices are the corrupted version of the real deal. ,0
867,Race,Indian,"In Malaysia, all South Indian Muslim consider as mamak not specific to Tamils",0
868,None,None,"It's just sarcasm...Of course, there will be eradicated within seconds by armed forces",0
869,Religion,Unknown,"Some who opt to ""conversion"" ceremony is just your own shock sendiri announce to the world that you now follow different religion.",1
870,Religion,Islam,Modi banning Muslim immigration into India.,0
871,Religion,Islam,"You statement itself insight hate because you did not provide full context, hijab is only ban in school.",0
872,Religion,Multiple,"The controversial law would apply to religious minorities persecuted on religious grounds, including Hindus, Sikhs, Buddhists, Jains, Parsis and Christians",0
873,Race,Indian,"The Malayalee / Telugu / Sri Lankan Tamil has not assimilated into Tamil , They speak Tamil as its the common language of majority. They maintain their cultural heritage (including the language) and celebrate their festival (Onam, Ugathi, Vaisaki etc.)",0
874,Race,Malay,If i follow your logic every Malaysian is Malay because we can speak Malay.,0
875,Religion,Islam,a Muslim from a Muslim majority country can not claim that they are a minority prosecuted under religious ground,0
876,Religion,Hinduism, a lot of arabia practiced some for of hindusm and vedic teaching. Whole middle east really love religion.,0
877,Religion,Islam,"That someone point of view , he may not like Muslim but that's his problem not the nation as a whole. That still doesn't say the law wrong.",0
878,Religion,Islam,They did not ban Muslim from migrating to Indian or made harder for the muslim. They just merely made if faster for non-muslim,0
879,Religion,Hinduism,I thought Hinduism is Yahudi,0
880,Religion,Hinduism,That is buffalo meat. Not cow meat. Hindu can eat buffolo meat.,0
881,Religion,Hinduism,"hindu see Cow = Holy. they not allow to eat, but how their meat can pollute other food??",0
882,Race,Malaysian,"Whole world has to go veggie, cannot sustain already. In civilized countries, all the SDG events now make sure menu is 80% veggie already. Malaysia still behind the times.",0
883,Race,Malay,Please separate tables & chairs from babi,1
884,Religion,Hinduism,"Hinduism in India got many type, practices differently. Hinduism is technically not a religion but way of life. So how they worship is also different through the region. They worship Ram and Krishna, south worship Murugan, Amman, shiva and smaller deities.",0
885,Race,Chinese,Chinese can eat everything.,0
886,Religion,Hinduism,"whats next? bus/trains need to segregate holy people from unholy people? otherwise, go socmed cry mader cry fader?",0
887,Religion,Hinduism,"Same logic as fruits, “ how dare you disrespect me by cutting up a holy cow and display it” , you’re offending my eyes.",1
888,Religion,Christianity,They tried to spread their Christianity but failed. I politely decline them. My neighbours too.,0
889,Religion,Christianity,The last time I was approached by these people was inside Sunway pyramid. A young man trying to pass flyers to me and talk about salvation thingy. Nope.,0
890,Religion,Christianity,they're targeting low educated people,0
891,Religion,Christianity,"Careful those are cults,really wolf in sheep skin",1
892,Religion,Islam,Illegal to preach to Muslim.,0
893,Religion,Hinduism,I am Hindu.,0
894,Religion,Hinduism,I am learning about Hinduism more.,0
895,Religion,Christianity,I once ask my friend what's his church's take regarding LGBTQ. He stopped asking me to join him ever since.,0
896,Religion,Islam,"Just say u muslim, end of story. They wont dare to bother u. ",0
897,Religion,Christianity,Good spreading the good work to curb the creeping of certain religion,1
898,Religion,Christianity,They target youngsters who are non-muslims - so basically Chinese and Indians. Better avoid them like the plague. They are dungus trying to preach to others without having a proper understanding of their faith themselves.,1
899,Race,Chinese,your religion is CCP. Xi Jin Ping is your god.,1
900,Religion,Christianity,The One True Church is Catholic.,0
901,Religion,Christianity,"carefull, my parent also been approach by this people before, but my parent decline. My dad say one of his friend join one of this group, nothing much at first. But teaching really getting weird later on. Not that i accuse all of them spread ajaran sesat, but some do.",0
902,Religion,Christianity,"My parent already a Christian, every sunday went church, got religious services there, why the need to came an teach at home some more, lol.",0
903,Religion,Hinduism,You Uno reverse them and preach about Hinduism.,0
904,None,None,because B40 are mostly bodoh and easily get cheated with religion,0
905,Religion,Christianity,How did they start their pitch? Like did they ask you about philosophical questions or if you have questions on the meaning of life etc. Or did they ask some mind blowing question to guilt you like “did you know you’re living a life of sin” etc ? ,0
906,Religion,Unknown,those who convert religion are failed people ..,1
907,Religion,Christianity,Jesus spreading news,0
908,Religion,Multiple,Every religion emphasizes on properly cultivating existing devotees to strengten their faith & works.,0
909,Religion,Christianity,Why no black SUVs tangkap these fellas?,1
910,Religion,Christianity,"Otherwise, how would these retards die off from this earth? Annoying AF.",1
911,Religion,Buddhism,"last time they come to my house and talked to my father. at the end, my father lecture them how good buddha is. can see their face full of regret lol",0
912,Religion,Multiple,New members are always the most aggressive even when they have no idea what they are talking about.,0
913,Religion,Islam,"To Taliban, anything can be an insult to Islam.",0
914,Religion,Multiple,How about insults against Christianity...bhudism...Hinduism...and other religions? But not also monitoring are they indirectly allowing it?,0
915,Race,Multiple,You should know this is MALAYsia. Why surprise ?,1
916,Religion,Islam,Insult muslim should be okay .. should not insult the religion. Problem is the practitioner not the religion.,0
917,Race,Multiple,Insult the person not the race. Practitioner of a religion = a person ... not a race ...,0
918,Race,Multiple,you minority you diam,1
919,Religion,Hinduism,Hindus are unique breed beauties,0
920,Race,Indian,Malaysian/Singaporean indian guys wet dream.. Hot non-indian hindu chick.,0
921,Religion,Hinduism,"wented there, early morning bukan azan you hear, but hinduism chanting outside and on tv as well",0
922,None,None,hey should put all PAS member and voter in fbi list,0
923,Religion,Multiple,"many terrorrist here, then kafir should get out quickly to stay save",0
924,None,None,non pas member also many la.,0
925,None,None,Anwar Ibrahim as well. Openly supporting Hamas,0
926,None,None,"EEEeee, disgusting!!",0
927,Race,Chinese,what race? isit cina komunis?,1
928,Religion,Multiple,Never really see Hinduism and Buddhism ppl on those list....,0
929,Religion,Islam,Unfortunately the moderate Muslim and the world need kafir to prevent this country from becoming full blown islamphobia country. The moderate Muslim too timid to handle it.,0
930,Race,Foreigner,"Judging from their names, I think arab, bro.",0
931,Race,Foreigner,got ppl condemn these banglas etc having fun at KlCC,0
932,Race,Foreigner,"Dude, if we don't have bangla here, who will do the 3D jobs? All those construction, etc? Wanna rely on own ppl? Kek . Kids these days who want to do those 3D jobs?",0
933,Race,Foreigner,I'd take bangla dancing for tiktok or for their family back home rather than some local playing rempit any day.,0
934,Race,Malaysian,Local busy vroom vroom. So many Akmal.,1
935,Race,Foreigner,Bangladesh are here because many bosses want to change car and travel oversea every year.,0
936,None,None,"those stupid ultras only want their own people to conquer everything, but when suruh buat kerja sikit so many excuses, bodoh",0
937,Race,Foreigner,stop importing foreign worker and the salary will auto adjust when no one want to do it,0
938,Race,Foreigner,What's wrong with bangla at klcc?,0
939,Race,Foreigner,"Its human nature to always favor your own citizens over foreigners. All policies , all regulations must always favor citizens over non-citizens",1
940,Race,Foreigner,"They have rights too, but they should also learn not to cross roads when the lights are green",0
941,None,None,The same ppl that also complained about how korean look down on them while they themselves treat migrant workers like shit.,0
942,Race,Foreigner,"The thing about foreigner especially Bangladesh is that their personal hygiene is questionable, if you've walked past one you'd have noticed their body odor is very strong.",1
943,Race,Malaysian,"rn it's true 'no local want to take 3D job' but why? bcos pay so shitty that do grab got better pay, if better pay i bet a lot will take the job",0
944,Race,Foreigner,Bangla here to work and earn money. They are hardworking.,0
945,Race,Foreigner,"Few years down the road, some of these Bangla will likely run their own business inside KLCC",0
946,Race,Malaysian,bangla of singapore,0
947,Race,Malaysian,In the end Malaysians become Singapore dog. How time has changed,1
948,Race,Foreigner,Here our rohingya breed until no tomorrow,1
949,Race,Foreigner,Else all the low wage pagpag keep breeding. Nanti street filled with rubbish,1
950,Race,Foreigner,Nobody stop them from breeding. But as a foreign worker they gotta follow the native country's law if wanna continue working. Otherwise they can jus go back to their home country. Nobody's forcing them to stay.,0
951,Race,Foreigner,Can send those rohingya rubbish back to bangla,1
952,Race,Multiple,"True, just wish they implemented this during British rule when they brought in foreign labour from China and India… Would’ve saved us a lot of headache now…",1
953,Race,Malay,"If I not mistaken, British brought in labors from India and China because ""the locals"" were not able withstanding hard labor, and don't have the skills to do sophisticated works for all the developments to set up a good colony. If those locals were hard working and intelligent themselves I don't think British would like to go to all the troubles.",0
954,Race,Foreigner,British wants to divide and conquer.,0
955,Race,Foreigner,"All our foreign workers are more or less considered as forced labours. No foreign workers, the factory can't work.",0
956,Race,Malaysian,"If locals want to do the job, you think they need foreign workers in the first place?",0
957,Religion,Islam,"Islam don’t only belong to Arabs, there are Muslims Chinese, Muslim Indonesia, Muslim in Africa, Muslim Japanese",0
958,Religion,Christianity,"there also Christians in China, Malaysia, Indonesia, Japan, China.",0
959,Race,Foreigner,It don’t belong to just White peoples,0
960,Religion,Multiple,Can a muslim convert to Christianity in Malaysia?? No .,0
961,Religion,Hinduism,"As we welcome the auspicious Hindu New Year, may it bring forth boundless happiness, success, and harmony. Here's to new beginnings and timeless traditions!",0
962,Race,Foreigner,"A foreign worker came to Malaysia in early Mar. No jobs for 6 months- zero income. He survived on fish that he got from the rivers and drains near his squatters, every day.",0
963,None,None,Can someone help them?,0
964,Race,Foreigner,KLCC is Bangla Country,1
965,Race,Foreigner,Foreigners should not use our free public service,1
966,Religion,Hinduism,"Not a 'Brahmin' , Not a 'Kshatriya', Not a 'Vaishya', Not a 'Shudra'. Just an Ocean of Hindus Faith..!",0
967,Religion,Christianity,Christians have no business in Muslim nations.,1
968,Religion,Christianity,Why are Christians so irredeemably stupid?,1
969,Religion,Christianity,"You’re not a Christian, kill yourself",1
970,Religion,Christianity,That's how stupid people thought how we Christians behave,0
971,Religion,Islam,Government is too good for these death cult fanatics.,1
972,Race,Indian,Cost-benefit. Most tamils here are fluent in malay or english.,0
973,Gender,Female,Habislah....her chery gonna pop...,1
974,None,None,Palestine is propaganda,0
975,Race,Foreigner,Finally we can experience authentic bangla street food.,1
976,Race,Indian,Eeeee dirty Indian food,1
977,None,None,It's not Street food if uses glove. This is authentic food and experience,0
978,Race,Malaysian,Malaysia food is more on spice. More towards fragrant. But nowdays all ruin by sugar. Even our sambal also got sugar inside......,0
979,Race,Malaysian,Malaysia food not spicy,0
980,Gender,Female,Take this comment from one woman.,0
981,None,None,"Yes, we have a right to be angry.",0
982,Race,Indian,Indian barber these days clever to potong liao,1
983,Race,Chinese,"Similar to the Down Syndrome, I have seen some bastard Chinese in Penang afraid and avoid other races... Wtf kind of mentality is this?",1
