,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
976,875,Religion,Islam,a Muslim from a Muslim majority country can not claim that they are a minority prosecuted under religious ground,0,"['muslim', 'muslim', 'majority', 'country', 'forfeit', 'minority', 'prosecuted', 'religious', 'ground']","[5, 0.63020208146955]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
977,876,Religion,Hinduism, a lot of arabia practiced some for of hindusm and vedic teaching.,0,"['lot', 'arabia', 'practiced', 'hindusm', 'vedic', 'teaching']","[10, 0.7533760662856441]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
978,876,Religion,Hinduism,Whole middle east really love religion.,0,"['whole', 'middle', 'east', 'really', 'love', 'religion']","[5, 0.8505278901741323]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
979,877,Religion,Islam,"That someone point of view , he may not like Muslim but that's his problem not the nation as a whole.",0,"['someone', 'point', 'view', 'may', 'unalike', 'muslim', 'problem', 'nation', 'whole']","[5, 0.6937056001178065]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
980,877,Religion,Islam,That still doesn't say the law wrong.,0,"['say', 'law', 'wrong']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
981,878,Religion,Islam,They did not ban Muslim from migrating to Indian or made harder for the muslim.,0,"['ban', 'muslim', 'migrating', 'indian', 'made', 'harder', 'muslim']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
982,878,Religion,Islam,They just merely made if faster for non-muslim,0,"['merely', 'made', 'faster', 'nonmuslim']","[15, 0.895214890314959]","['nonmuslims', 'ban', 'concerts', 'artistes', 'hedonistic', 'automatically', 'hijab', 'moral', 'nonmuslim', 'foreign']","['concerts foreign artistes automatically hedonistic', 'true tho concerts foreign artistes automatically hedonistic', 'moral education subject taken exclusively nonmuslims mandatory nonmuslims']"
983,879,Religion,Hinduism,I thought Hinduism is Yahudi,0,"['thought', 'hinduism', 'yahudi']","[10, 0.986235865574693]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
984,880,Religion,Hinduism,That is buffalo meat.,0,"['buffalo', 'meat']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
985,880,Religion,Hinduism,Not cow meat.,0,"['cow', 'meat']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
986,880,Religion,Hinduism,Hindu can eat buffolo meat.,0,"['hindu', 'eat', 'buffolo', 'meat']","[17, 0.6409524806954049]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
987,881,Religion,Hinduism,hindu see Cow = Holy.,0,"['hindu', 'see', 'cow', 'holy']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
988,881,Religion,Hinduism,"they not allow to eat, but how their meat can pollute other food?",0,"['forbid', 'eat', 'meat', 'pollute', 'food']","[17, 0.4785463912046753]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
989,882,Race,Malaysian,"Whole world has to go veggie, cannot sustain already.",0,"['whole', 'world', 'go', 'veggie', 'negate']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
990,882,Race,Malaysian,"In civilized countries, all the SDG events now make sure menu is 80% veggie already.",0,"['civilized', 'countries', 'sdg', 'events', 'make', 'sure', 'menu', 'veggie']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
991,882,Race,Malaysian,Malaysia still behind the times.,0,"['malaysia', 'behind', 'times']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
992,883,Race,Malay,Please separate tables & chairs from babi,1,"['separate', 'tables', 'chairs', 'babi']","[13, 0.9420620661975713]","['babi', 'parameswara', 'kering', 'pundek', 'word', 'diamlah', 'money', 'use', 'food', 'diam']","['babi haram religion', 'babi offensive word', 'use babi money buy food equaly feeding nonhalal food']"
993,884,Religion,Hinduism,"Hinduism in India got many type, practices differently.",0,"['hinduism', 'india', 'got', 'many', 'type', 'practices', 'differently']","[10, 1.0]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
994,884,Religion,Hinduism,Hinduism is technically not a religion but way of life.,0,"['hinduism', 'technically', 'religion', 'way', 'life']","[10, 0.5429054782170151]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
995,884,Religion,Hinduism,So how they worship is also different through the region.,0,"['worship', 'different', 'region']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
996,884,Religion,Hinduism,"They worship Ram and Krishna, south worship Murugan, Amman, shiva and smaller deities.",0,"['worship', 'ram', 'krishna', 'south', 'worship', 'murugan', 'amman', 'shiva', 'smaller', 'deities']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
997,885,Race,Chinese,Chinese can eat everything.,0,"['chinese', 'eat', 'everything']","[4, 0.6503278894872888]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
998,886,Religion,Hinduism,whats next?,0,"['whats', 'next']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
999,886,Religion,Hinduism,bus/trains need to segregate holy people from unholy people?,0,"['bus', 'trains', 'need', 'segregate', 'holy', 'people', 'unholy', 'people']","[6, 0.5813196892169854]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1000,886,Religion,Hinduism,"otherwise, go socmed cry mader cry fader?",0,"['otherwise', 'go', 'socmed', 'cry', 'mader', 'cry', 'fader']","[1, 0.802654471633152]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
1001,887,Religion,Hinduism,"Same logic as fruits, “ how dare you disrespect me by cutting up a holy cow and display it” , you're offending my eyes.",1,"['logic', 'fruits', 'dare', 'disrespect', 'cutting', 'holy', 'cow', 'display', 'offending', 'eyes']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
1002,888,Religion,Christianity,They tried to spread their Christianity but failed.,0,"['tried', 'spread', 'christianity', 'failed']","[6, 0.62563843041683]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1003,888,Religion,Christianity,I politely decline them.,0,"['politely', 'decline']","[3, 0.7789580547152527]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1004,888,Religion,Christianity,My neighbours too.,0,['neighbours'],"[3, 0.7687867634568208]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1005,889,Religion,Christianity,The last time I was approached by these people was inside Sunway pyramid.,0,"['last', 'time', 'approached', 'people', 'inside', 'sunway', 'pyramid']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1006,889,Religion,Christianity,A young man trying to pass flyers to me and talk about salvation thingy.,0,"['young', 'man', 'trying', 'pass', 'flyers', 'talk', 'salvation', 'thingy']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1007,889,Religion,Christianity,Nope.,0,['nope'],"[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1008,890,Religion,Christianity,they're targeting low educated people,0,"['targeting', 'low', 'educated', 'people']","[11, 0.15383099298883066]","['race', 'racist', 'white', 'racism', 'civil', 'political', 'politicians', 'special', 'accused', 'minorities']","['govt racist towards race', 'race', 'special privileged race arson nothing see special race spoilt since independence pm history guts change']"
1009,891,Religion,Christianity,"Careful those are cults,really wolf in sheep skin",1,"['careful', 'cults', 'really', 'wolf', 'sheep', 'skin']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1010,892,Religion,Islam,Illegal to preach to Muslim.,0,"['illegal', 'preach', 'muslim']","[5, 0.67950578063268]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1011,893,Religion,Hinduism,I am Hindu.,0,['hindu'],"[10, 1.0]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1012,894,Religion,Hinduism,I am learning about Hinduism more.,0,"['learning', 'hinduism']","[10, 0.6970686014464597]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1013,895,Religion,Christianity,I once ask my friend what's his church's take regarding LGBTQ.,0,"['ask', 'friend', 'church', 'take', 'regarding', 'lgbtq']","[6, 0.48127517546006754]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1014,895,Religion,Christianity,He stopped asking me to join him ever since.,0,"['stopped', 'asking', 'join', 'since']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1015,896,Religion,Islam,"Just say u muslim, end of story.",0,"['say', 'muslim', 'end', 'story']","[5, 1.0]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1016,896,Religion,Islam,They wont dare to bother u.,0,"['wont', 'dare', 'bother']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1017,897,Religion,Christianity,Good spreading the good work to curb the creeping of certain religion,1,"['good', 'spreading', 'good', 'work', 'curb', 'creeping', 'certain', 'religion']","[6, 0.815815853322354]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1018,898,Religion,Christianity,They target youngsters who are non-muslims - so basically Chinese and Indians.,1,"['target', 'youngsters', 'nonmuslims', 'chinese', 'indians']","[4, 0.48609304249407315]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
1019,898,Religion,Christianity,Better avoid them like the plague.,1,"['better', 'avoid', 'like', 'plague']","[3, 0.7919661443504662]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1020,898,Religion,Christianity,They are dungus trying to preach to others without having a proper understanding of their faith themselves.,1,"['dungus', 'trying', 'preach', 'others', 'without', 'proper', 'understanding', 'faith']","[6, 0.8100030843902181]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1021,899,Race,Chinese,your religion is CCP.,1,"['religion', 'ccp']","[6, 0.7812669667592699]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1022,899,Race,Chinese,Xi Jin Ping is your god.,1,"['xi', 'jin', 'ping', 'god']","[6, 0.421857301536426]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1023,900,Religion,Christianity,The One True Church is Catholic.,0,"['one', 'true', 'church', 'catholic']","[6, 0.8732512706040737]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1024,901,Religion,Christianity,"carefull, my parent also been approach by this people before, but my parent decline.",0,"['carefull', 'parent', 'approach', 'people', 'parent', 'decline']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1025,901,Religion,Christianity,"My dad say one of his friend join one of this group, nothing much at first.",0,"['dad', 'say', 'one', 'friend', 'join', 'one', 'group', 'nothing', 'much', 'first']","[3, 0.8814752609415131]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1026,901,Religion,Christianity,But teaching really getting weird later on.,0,"['teaching', 'really', 'getting', 'weird', 'later']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
1027,901,Religion,Christianity,"Not that i accuse all of them spread ajaran sesat, but some do.",0,"['accuse', 'spread', 'ajaran', 'sesat']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1028,902,Religion,Christianity,"My parent already a Christian, every sunday went church, got religious services there, why the need to came an teach at home some more, lol.",0,"['parent', 'christian', 'every', 'sunday', 'went', 'church', 'got', 'religious', 'services', 'need', 'came', 'teach', 'home']","[6, 0.550948014385657]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1029,903,Religion,Hinduism,You Uno reverse them and preach about Hinduism.,0,"['uno', 'reverse', 'preach', 'hinduism']","[10, 0.5897109182528045]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1030,905,Religion,Christianity,How did they start their pitch?,0,"['start', 'pitch']","[13, 0.8801458666041032]","['babi', 'parameswara', 'kering', 'pundek', 'word', 'diamlah', 'money', 'use', 'food', 'diam']","['babi haram religion', 'babi offensive word', 'use babi money buy food equaly feeding nonhalal food']"
1031,905,Religion,Christianity,Like did they ask you about philosophical questions or if you have questions on the meaning of life etc.,0,"['like', 'ask', 'philosophical', 'questions', 'questions', 'meaning', 'life']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1032,905,Religion,Christianity,Or did they ask some mind blowing question to guilt you like “did you know you're living a life of sin” etc ?,0,"['ask', 'mind', 'blowing', 'question', 'guilt', 'like', 'know', 'living', 'life', 'sin']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1033,906,Religion,Unknown,those who convert religion are failed people ..,1,"['convert', 'religion', 'failed', 'people']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1034,907,Religion,Christianity,Jesus spreading news,0,"['jesus', 'spreading', 'news']","[6, 0.8727960324822618]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1035,908,Religion,Multiple,Every religion emphasizes on properly cultivating existing devotees to strengten their faith & works.,0,"['every', 'religion', 'emphasizes', 'properly', 'cultivating', 'existing', 'devotees', 'strengten', 'faith', 'works']","[6, 0.7719762106259384]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1036,909,Religion,Christianity,Why no black SUVs tangkap these fellas?,1,"['whiten', 'suvs', 'tangkap', 'fellas']","[19, 0.2715406395278812]","['bangla', 'klcc', 'rohingya', 'jobs', 'years', 'authentic', 'fellas', 'decision', 'banglas', 'whiten']","['years road bangla likely run business inside klcc', 'wrong bangla klcc', 'klcc bangla country']"
1037,910,Religion,Christianity,"Otherwise, how would these retards die off from this earth?",1,"['otherwise', 'would', 'retards', 'die', 'earth']","[6, 0.4426345987328342]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1038,910,Religion,Christianity,Annoying AF.,1,"['annoying', 'af']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1039,911,Religion,Buddhism,last time they come to my house and talked to my father.,0,"['last', 'time', 'come', 'house', 'talked', 'father']","[3, 0.8560533560156077]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1040,911,Religion,Buddhism,"at the end, my father lecture them how good buddha is.",0,"['end', 'father', 'lecture', 'good', 'buddha']","[9, 0.7867621999130401]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1041,911,Religion,Buddhism,can see their face full of regret lol,0,"['see', 'face', 'full', 'regret']","[3, 0.843643568837513]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1042,912,Religion,Multiple,New members are always the most aggressive even when they have no idea what they are talking about.,0,"['new', 'members', 'aggressive', 'idea', 'talking']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1043,913,Religion,Islam,"To Taliban, anything can be an insult to Islam.",0,"['taliban', 'anything', 'insult', 'islam']","[5, 0.5841384734823694]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1044,914,Religion,Multiple,How about insults against Christianity...bhudism...Hinduism...and other religions?,0,"['insults', 'christianity', 'bhudism', 'hinduism', 'religions']","[10, 0.5897109182528045]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1045,914,Religion,Multiple,But not also monitoring are they indirectly allowing it?,0,"['monitoring', 'indirectly', 'allowing']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1046,915,Race,Multiple,You should know this is MALAYsia.,1,"['know', 'malaysia']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
1047,915,Race,Multiple,Why surprise ?,1,['surprise'],"[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1048,916,Religion,Islam,Insult muslim should be okay .. should not insult the religion.,0,"['insult', 'muslim', 'okay', 'insult', 'religion']","[5, 0.6847321994986244]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1049,916,Religion,Islam,Problem is the practitioner not the religion.,0,"['problem', 'practitioner', 'religion']","[6, 0.8732512706040737]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1050,917,Race,Multiple,Insult the person not the race.,0,"['insult', 'person', 'race']","[11, 1.0]","['race', 'racist', 'white', 'racism', 'civil', 'political', 'politicians', 'special', 'accused', 'minorities']","['govt racist towards race', 'race', 'special privileged race arson nothing see special race spoilt since independence pm history guts change']"
1051,917,Race,Multiple,Practitioner of a religion = a person ... not a race ...,0,"['practitioner', 'religion', 'person', 'race']","[6, 0.6746067746482785]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1052,918,Race,Multiple,you minority you diam,1,"['minority', 'diam']","[13, 1.0]","['babi', 'parameswara', 'kering', 'pundek', 'word', 'diamlah', 'money', 'use', 'food', 'diam']","['babi haram religion', 'babi offensive word', 'use babi money buy food equaly feeding nonhalal food']"
1053,919,Religion,Hinduism,Hindus are unique breed beauties,0,"['hindus', 'unique', 'breed', 'beauties']","[10, 0.5145881300593024]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1054,920,Race,Indian,Malaysian/Singaporean indian guys wet dream..,0,"['malaysian', 'singaporean', 'indian', 'guys', 'wet', 'dream']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
1055,920,Race,Indian,Hot non-indian hindu chick.,0,"['hot', 'nonindian', 'hindu', 'chick']","[10, 0.8557318754865897]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1056,921,Religion,Hinduism,"wented there, early morning bukan azan you hear, but hinduism chanting outside and on tv as well",0,"['wented', 'early', 'morning', 'bukan', 'azan', 'hear', 'hinduism', 'chanting', 'outside', 'tv', 'well']","[10, 0.9332372572945897]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1057,923,Religion,Multiple,"many terrorrist here, then kafir should get out quickly to stay save",0,"['many', 'terrorrist', 'kafir', 'get', 'quickly', 'stay', 'save']","[16, 1.0]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
1058,927,Race,Chinese,what race?,1,['race'],"[11, 1.0]","['race', 'racist', 'white', 'racism', 'civil', 'political', 'politicians', 'special', 'accused', 'minorities']","['govt racist towards race', 'race', 'special privileged race arson nothing see special race spoilt since independence pm history guts change']"
1059,927,Race,Chinese,isit cina komunis?,1,"['isit', 'cina', 'komunis']","[10, 0.7240581774136309]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
