,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
794,716,Religion,Buddhism,In order to qualify as a religion... there has to be worship or believe in deities/gods...which Buddhism doesnt teach.,0,"['order', 'qualify', 'religion', 'worship', 'believe', 'deities', 'gods', 'buddhism', 'doesnt', 'teach']","[610, 942, 588, 204, 1062, 375, 2060, 57, 234, 902]"
795,717,Religion,Buddhism,Buddhism is not a real religion.,1,"['buddhism', 'real', 'religion']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
796,718,Religion,Buddhism,These devout monks really practiced what they preached .,0,"['devout', 'monks', 'really', 'practiced', 'preached']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
797,718,Religion,Buddhism,well large majority of them anyway.,0,"['well', 'large', 'majority', 'anyway']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
798,718,Religion,Buddhism,Their role have been mocked/satirized/cheapened/villianized /hamsapfied in so many ways by the capitalistic world and humans .,0,"['role', 'mocked', 'satirized', 'cheapened', 'villianized', 'hamsapfied', 'many', 'ways', 'capitalistic', 'world', 'humans']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
799,721,Gender,Female,women are built to be hypergamous sluts,1,"['women', 'built', 'hypergamous', 'sluts']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
800,723,Gender,Female,sluts who do this shit should be crucified for the good of society.,1,"['sluts', 'shit', 'crucified', 'good', 'society']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
801,723,Gender,Female,Our soyciety started unraveling fast as soon as we fucked traditional gender norms.,1,"['soyciety', 'started', 'unraveling', 'fast', 'soon', 'fucked', 'traditional', 'gender', 'norms']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
802,726,Gender,Male,Men are supposed to provide!!,0,"['men', 'supposed', 'provide']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
803,726,Gender,Male,"Even if I'm a feminist woman and I hate sexism, men are still supposed to be the breadwinners!",0,"['feminist', 'woman', 'hate', 'sexism', 'men', 'supposed', 'breadwinners']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
804,727,Gender,Male,"You know how there a stereotype of ""women not knowing what they want""?",0,"['know', 'stereotype', 'women', 'ignore', 'want']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
805,727,Gender,Male,Well it's the same for men.,0,"['well', 'men']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
806,728,Gender,Male,Men are deserved to be cheated,1,"['men', 'deserved', 'cheated']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
807,729,Gender,Male,he doesn't even deserve to be called a man.,0,"['odd', 'deserve', 'called', 'man']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
808,730,Gender,Male,All males are abusers.,1,"['males', 'abusers']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
809,731,Gender,Female,"That's wrong, never put your hand on a woman.",0,"['wrong', 'call_option', 'hand', 'woman']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
810,731,Gender,Female,Never!,0,['never'],"[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
811,732,Gender,Female,Beat her up.,1,['beat'],"[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
812,738,Gender,Male,the loneliness of men is going to get worse,0,"['loneliness', 'men', 'going', 'get', 'worse']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
813,739,Gender,Female,My temples have been burning up out of anger and the only thing that could fix it is some vagina,0,"['temples', 'burning', 'anger', 'thing', 'could', 'fix', 'vagina']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
814,742,Race,Chinese,I broke a trash door of this Chink house.,1,"['broke', 'trash', 'door', 'chink', 'house']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
815,746,Gender,Female,"Gyms are brothels nowadays, women dress like sluts.",1,"['gyms', 'brothels', 'nowadays', 'women', 'dress', 'like', 'sluts']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
816,747,Gender,Female,"i do not hate them, i am just super jealous of them, everything for them is so fucking easy.",0,"['love', 'super', 'jealous', 'everything', 'fucking', 'easy']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
817,748,Gender,Female,is there any part of their life thats even a bit harder than ours?,0,"['part', 'life', 'thats', 'bit', 'harder']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
818,749,Gender,Female,unwanted pregnancy?,0,"['unwanted', 'pregnancy']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
819,749,Gender,Female,just use a condom,0,"['use', 'condom']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
820,750,Gender,Female," i have never seen a women get paid less than me for doing the same job, any study that's shows otherwise is lying those fuckers dont take into account economic geography, worked hours or even job positions.",0,"['never', 'seen', 'women', 'get', 'paid', 'less', 'job', 'study', 'shows', 'otherwise', 'lying', 'fuckers', 'refuse', 'account', 'economic', 'geography', 'worked', 'hours', 'job', 'positions']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
821,751,Race,Indian,i despise them they have treated me like shit my entire life i try to avoid them at all cost,0,"['despise', 'treated', 'like', 'shit', 'entire', 'life', 'try', 'avoid', 'cost']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
822,752,Gender,Female,"Only interaction I have with them is when they are doing there job, very rare for me to talk to them whilst not",0,"['interaction', 'job', 'rare', 'talk', 'whilst']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
823,753,Gender,Male,Creepy men just can't leave me alone with their predatory eyes.,1,"['creepy', 'men', 'disinherit', 'alone', 'predatory', 'eyes']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
824,754,Gender,Female,Shut up you fucking attention seeking retard,1,"['shut', 'fucking', 'attention', 'seeking', 'retard']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
825,756,Gender,Male,I am tired of getting rejected by man.,0,"['tired', 'getting', 'rejected', 'man']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
826,757,Gender,Female,Only men can truly love.,1,"['men', 'truly', 'love']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
827,757,Gender,Female,"Women can't, they are all soulless demons, their ""love"" is always conditional (money, status, looks, etc).",1,"['women', 'soulless', 'demons', 'love', 'conditional', 'money', 'status', 'looks']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
828,759,Gender,Female,Tired of seeing women on the streets.,1,"['tired', 'seeing', 'women', 'streets']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
829,759,Gender,Female,Time to kidnap a woman and forcibly marry and sex her.,1,"['time', 'kidnap', 'woman', 'forcibly', 'marry', 'sex']","[340, 1169, 27, 919, 1166, 17, 28, 845, 103, 770]"
830,760,Gender,Female,I want to sex trafficking woman so bad.,1,"['want', 'sex', 'trafficking', 'woman', 'bad']","[86, 1291, 1902, 17, 885, 638, 733, 1344, 766, 314]"
831,761,Gender,Female,Women are our food.,1,"['women', 'food']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
832,761,Gender,Female,Women are our property.,1,"['women', 'property']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
833,763,Gender,Female,"They exist for our pleasure, to further our quality of life.",1,"['exist', 'pleasure', 'quality', 'life']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
834,764,Gender,Female,I want all females to be enslaved to my will.,1,"['want', 'females', 'enslaved']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
835,765,Race,Indian,They should be wearing traditional hand made cotton sarees rather than those shitty western clothes,1,"['wearing', 'traditional', 'hand', 'made', 'cotton', 'sarees', 'rather', 'shitty', 'western', 'clothes']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
836,766,Race,Foreigner,Western clothes should be illegal in non-western countries.,1,"['western', 'clothes', 'illegal', 'nonwestern', 'countries']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
837,767,Gender,Female,we are animals in clothes and other animals are known to rape so is it natural then,1,"['animals', 'clothes', 'animals', 'known', 'rape', 'natural']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
838,768,Race,Indian,The average indian looks like an inbred bonobo.,1,"['average', 'indian', 'looks', 'like', 'inbred', 'bonobo']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
839,769,Gender,Male,These males should be put on the sex offender registry for life for any hate speech uttered on the internet-- these people do not deserve a chance in life.,1,"['males', 'put', 'sex', 'offender', 'registry', 'life', 'hate', 'speech', 'uttered', 'internet', 'people', 'deserve', 'chance', 'life']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
840,770,Gender,Male,Hopefully when they are put on a list they will just fucking kill themselves,1,"['hopefully', 'put', 'list', 'fucking', 'kill']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
841,772,Gender,Male,Every 15 yo male shorter than 5'11 should be castrated and put in special schools tbh,1,"['every', 'yo', 'male', 'shorter', 'castrated', 'put', 'special', 'schools', 'tbh']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
842,773,Gender,Female,women can only be interested in men if they are conventionally attractive,0,"['women', 'interested', 'men', 'conventionally', 'attractive']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
843,774,Gender,Female,you cant be a fan of this thing i like because you're a woman,1,"['differ', 'fan', 'thing', 'like', 'woman']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
844,775,Gender,Female,Delusional female echo chamber.,0,"['delusional', 'female', 'echo', 'chamber']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
845,776,Gender,Female,Every day I hate women more.,1,"['every', 'day', 'hate', 'women']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
846,777,Religion,Multiple,I been to places of worship for Hinduism and Buddhism,0,"['places', 'worship', 'hinduism', 'buddhism']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
847,778,Race,Multiple,"We found tens of thousands of artefacts here from China, India and Arabia.",0,"['found', 'tens', 'thousands', 'artefacts', 'china', 'india', 'arabia']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
848,778,Race,Multiple,It shows that trading occurred,0,"['shows', 'trading', 'occurred']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
849,779,Religion,Islam,"Sadly this is the truth, if it is found as an early islamic center i believe already turn into a tourist spot.",0,"['sadly', 'truth', 'found', 'early', 'islamic', 'center', 'believe', 'turn', 'tourist', 'spot']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
850,779,Religion,Islam,We all knew that by history Hinduism & buddism reach here way early before Islam.,0,"['knew', 'history', 'hinduism', 'buddism', 'reach', 'way', 'early', 'islam']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
851,780,Race,Malay,Malay history did not start from Kesultanan Melaka only,0,"['malay', 'history', 'finish', 'kesultanan', 'melaka']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
852,781,Race,Multiple,non as always being professional victim,1,"['non', 'professional', 'victim']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
853,782,Race,Malay,"tell these locals to just mind their own business and work hard to earn a living la, these sites are no longer used for hindiusm and bhudist rites anymore.",0,"['tell', 'locals', 'mind', 'business', 'work', 'hard', 'earn', 'living', 'la', 'sites', 'short', 'used', 'hindiusm', 'bhudist', 'rites', 'anymore']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
854,782,Race,Malay,If there were tourists coming would these locals complain if there was income coming in,0,"['tourists', 'coming', 'would', 'locals', 'complain', 'income', 'coming']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
855,783,Race,Malay,Our government won't promote Malay history or culture if it's not related to Islam.,0,"['government', 'demote', 'malay', 'history', 'culture', 'dissociate', 'islam']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
856,784,Race,Malay,Is he a Malay?,0,['malay'],"[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
857,785,Religion,Multiple,Malaysia government really is treating its non-Muslim history like trash.,0,"['malaysia', 'government', 'really', 'treating', 'nonmuslim', 'history', 'like', 'trash']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
858,787,Religion,Buddhism,It's good that these buddha statues are destroyed.,1,"['good', 'buddha', 'statues', 'destroyed']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
859,788,Religion,Islam,They scare suddenly the whole place will not longer be Islam anymore,0,"['scare', 'suddenly', 'whole', 'place', 'short', 'islam', 'anymore']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
860,789,Religion,Buddhism,"Like Taliban blowing up their Buddhist statues, what's the fuss?",1,"['like', 'taliban', 'blowing', 'buddhist', 'statues', 'fuss']","[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
861,790,Religion,Multiple,Here we ban anything non-Islamic.,0,"['ban', 'anything', 'nonislamic']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
862,790,Religion,Multiple,"Look at what happened to Wayang Kulit, Makyong, etc.",0,"['look', 'happened', 'wayang', 'kulit', 'makyong']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
863,791,Religion,Hinduism,They are Malay culture but heavily influenced by Hinduism.,0,"['malay', 'culture', 'heavily', 'influenced', 'hinduism']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
864,792,Religion,Multiple,Whole of Malaysia was Hindu Buddhist until Parameswara's son or some say Parameswara himself masuk Islam.,0,"['whole', 'malaysia', 'hindu', 'buddhist', 'parameswara', 'son', 'say', 'parameswara', 'masuk', 'islam']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
865,794,Religion,Christianity,Who are these international experts??,1,"['international', 'experts']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
866,794,Religion,Christianity,It is all Christian agenda!!!,1,"['christian', 'agenda']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
867,795,Religion,Hinduism,kesultanan melaka also started by parameswara.,0,"['kesultanan', 'melaka', 'started', 'parameswara']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
868,795,Religion,Hinduism,do parameswara sound arabic to you?,0,"['parameswara', 'sound', 'arabic']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
869,795,Religion,Hinduism,parameswara bin abdullah?,0,"['parameswara', 'bin', 'abdullah']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
870,795,Religion,Hinduism,he is hindu,0,['hindu'],"[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
871,796,Religion,Islam,"Islamic site, confirm promote.",0,"['islamic', 'site', 'confirm', 'promote']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
872,796,Religion,Islam,"Other religion site, krik.. krik.. krik...",0,"['religion', 'site', 'krik', 'krik', 'krik']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
873,797,Gender,Male,There Are Too Many Men In My Neighborhood,1,"['many', 'men', 'neighborhood']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
874,798,Gender,Male,"I'm scared to run in the mornings because they roam at all hours of the day yelling, screaming, etc",1,"['scared', 'run', 'mornings', 'roam', 'hours', 'day', 'yelling', 'screaming']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
875,799,Gender,Male,"I understand that men exist everywhere and I can't control where they are, but for fucks sake I want peace!",1,"['understand', 'men', 'exist', 'everywhere', 'unrestraint', 'fucks', 'sake', 'want', 'peace']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
876,800,Gender,Male,men like to harass women as a game.,1,"['men', 'like', 'harass', 'women', 'game']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
877,800,Gender,Male,It's a way they bond.,1,"['way', 'bond']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
878,800,Gender,Male,They see it as harmless greetings and trying to make conversation.,1,"['see', 'harmless', 'greetings', 'trying', 'make', 'conversation']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
879,800,Gender,Male,They don't pay attention at all to the fact that they are making you feel uncomfortable.,1,"['default', 'attention', 'fact', 'making', 'feel', 'uncomfortable']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
880,801,Race,Indian,are these indians?,0,['indians'],"[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
881,801,Race,Indian,they always stand around in hordes,0,"['stand', 'around', 'hordes']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
882,802,Gender,Male,This girl is offended as men don't treat her free meal in Michelin restaurant,0,"['girl', 'offended', 'men', 'treat', 'free', 'meal', 'michelin', 'restaurant']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
883,803,Race,Foreigner,I don't actually care about you in whatever 3rd world shithole you live in.,1,"['care', 'whatever', 'rd', 'world', 'shithole', 'live']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
884,804,Gender,Female,Strangle them all,1,['strangle'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
885,805,Race,Chinese,Chinese is all fake as fuck,1,"['chinese', 'fake', 'fuck']","[0, 149, 1670, 760, 615, 530, 96, 796, 2989, 792]"
886,806,Race,Malaysian,I believe in middle path.,0,"['believe', 'middle', 'path']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
887,806,Race,Malaysian,All malysian should exercise middle path regardless religion for long lasting peace and harmony,0,"['malysian', 'exercise', 'middle', 'path', 'regardless', 'religion', 'long', 'lasting', 'peace', 'harmony']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
888,807,Religion,Buddhism,Buddhism is the middle path,0,"['buddhism', 'middle', 'path']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
889,808,Religion,Buddhism,Good Buddhist means do good and normally Buddhism not related to any god.,0,"['good', 'buddhist', 'means', 'good', 'normally', 'buddhism', 'dissociate', 'god']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
890,808,Religion,Buddhism,This is because Buddhism is actually really way of life.,0,"['buddhism', 'really', 'way', 'life']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
891,808,Religion,Buddhism,Not religion.,0,['religion'],"[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
892,808,Religion,Buddhism,But it can become religion if you dig too deep.,0,"['become', 'religion', 'dig', 'deep']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
893,809,Religion,Buddhism,don't do any digging in Buddhism.,1,"['unmake', 'digging', 'buddhism']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
894,810,Race,Malaysian,"Malaysians drivers: who follow law , who bodoh",0,"['malaysians', 'drivers', 'follow', 'law', 'bodoh']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
895,811,Religion,Buddhism,in my opinion that's very conservative.,0,"['opinion', 'conservative']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
896,811,Religion,Buddhism,Not even middle path,0,"['odd', 'middle', 'path']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
897,813,Religion,Islam,God's will most important,0,"['god', 'important']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
898,814,Religion,Multiple,this is a serious impact on national education policy punishes Non-Muslims for just existing with non-Muslim economic activities,0,"['serious', 'impact', 'national', 'education', 'policy', 'punishes', 'nonmuslims', 'existing', 'nonmuslim', 'economic', 'activities']","[0, 149, 1670, 760, 615, 530, 96, 796, 2989, 792]"
899,815,Religion,Islam,"Sejarah is a subject for all citizens, and they can make logic that the majority needs to learn Islamic values and history (although that logic might be flawed) since the majority practices Islam.",0,"['sejarah', 'subject', 'citizens', 'make', 'logic', 'majority', 'needs', 'learn', 'islamic', 'values', 'history', 'although', 'logic', 'might', 'flawed', 'since', 'majority', 'practices', 'islam']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
900,816,Religion,Multiple,"Moral Education is a subject taken exclusively by non-Muslims, mandatory for non-Muslims.",0,"['moral', 'education', 'subject', 'taken', 'exclusively', 'nonmuslims', 'mandatory', 'nonmuslims']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
901,816,Religion,Multiple,"Now where's the logic in their defense for vilifying normal non-Muslim acts as ""morally questionable"" to be a moral dilemma in a national textbook?",0,"['logic', 'defense', 'vilifying', 'normal', 'nonmuslim', 'acts', 'morally', 'questionable', 'moral', 'dilemma', 'national', 'textbook']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
902,818,Religion,Buddhism,"Buddhist temples only exist becos rich businessmen donated money to ""balance up"" their bad karma which they do all the time.",1,"['buddhist', 'temples', 'exist', 'becos', 'rich', 'businessmen', 'donated', 'money', 'balance', 'bad', 'karma', 'time']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
903,819,Religion,Buddhism,"Technically most Malaysian Chinese practice Taoism, but Taoism entered the populace vocabulary later than Buddhism.",0,"['technically', 'malaysian', 'chinese', 'practice', 'taoism', 'taoism', 'entered', 'populace', 'vocabulary', 'later', 'buddhism']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
904,819,Religion,Buddhism,"So in the world today, we see different types (or in other vocab, sects) of Buddhism.",0,"['world', 'today', 'see', 'different', 'types', 'vocab', 'sects', 'buddhism']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
905,822,Religion,Islam,Pendidikan Moral become Pendidikan Agama,0,"['pendidikan', 'moral', 'become', 'pendidikan', 'agama']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
906,823,Race,Malay,bifoti education.,1,"['bifoti', 'education']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
907,823,Race,Malay,Taught by bifoti guided by bifoti too.,1,"['taught', 'bifoti', 'guided', 'bifoti']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
908,825,Race,Foreigner,concerts by foreign artistes are automatically hedonistic,1,"['concerts', 'foreign', 'artistes', 'automatically', 'hedonistic']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
909,826,Race,Foreigner,Is it true tho concerts by foreign artistes are automatically hedonistic?,0,"['true', 'tho', 'concerts', 'foreign', 'artistes', 'automatically', 'hedonistic']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
910,828,Religion,Islam,Can someone explain why concerts are prohibited in Islam?,0,"['someone', 'explain', 'concerts', 'prohibited', 'islam']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
911,830,Race,Malay,"it was like their thoughts, that we run the business like they run the country.",0,"['like', 'thoughts', 'run', 'business', 'like', 'run', 'country']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
912,830,Race,Malay,"No planning, no thinking.",0,"['planning', 'forget']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
913,830,Race,Malay,"Tomorrow problems are tomorrow's, even today's problem is tomorrow's.” culture",0,"['tomorrow', 'problems', 'tomorrow', 'today', 'problem', 'tomorrows', 'culture']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
914,831,Religion,Islam,Only fools like u guys can lose ur faith after attending a Sam Smith concert,0,"['fools', 'like', 'guys', 'lose', 'ur', 'faith', 'attending', 'sam', 'smith', 'concert']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
915,833,Religion,Islam,Certain religion makes u bodo.,1,"['certain', 'religion', 'makes', 'bodo']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
916,834,Race,Chinese,"why the chinese in my school always act like chow ah beng, no manners",1,"['chinese', 'school', 'act', 'like', 'chow', 'ah', 'beng', 'manners']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
917,835,Religion,Buddhism,"the sky is watching, and it can determine the people's good and evil...",0,"['sky', 'watching', 'determine', 'people', 'good', 'evil']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
918,836,Religion,Buddhism,they donated so much but did they really practice buddhism themselves?,1,"['donated', 'much', 'really', 'practice', 'buddhism']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
919,837,Race,Malay,"Malays think they are very moral, brave and unbeatable when they perform silat, breaking sticks and somersault in front of the grassland",1,"['malays', 'think', 'moral', 'brave', 'unbeatable', 'perform', 'silat', 'breaking', 'sticks', 'somersault', 'front', 'grassland']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
920,839,Religion,Islam,in Malaysia a lot of breeders that shouldn't make babies breed like terrorist wild hogs.,1,"['malaysia', 'lot', 'breeders', 'break', 'babies', 'breed', 'like', 'terrorist', 'wild', 'hogs']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
921,840,Religion,Unknown, belief in God is the principle of Malaysia.,0,"['belief', 'god', 'principle', 'malaysia']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
922,841,Religion,Unknown,I have a religion.,0,['religion'],"[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
923,842,Religion,Multiple,"i don't care that you believed in any skydaddy, just don't force it on others.",0,"['care', 'believed', 'skydaddy', 'push', 'others']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
924,842,Religion,Multiple,it's that simple.,0,['simple'],"[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
925,843,Religion,Multiple,We are not in secular state and it is impossible for Malaysia becoming secular state.,0,"['secular', 'state', 'impossible', 'malaysia', 'becoming', 'secular', 'state']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
926,843,Religion,Multiple,Malaysia is religion states.,0,"['malaysia', 'religion', 'states']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
927,844,Religion,Hinduism,indian hindu got nothing better to do?,1,"['indian', 'hindu', 'got', 'nothing', 'better']","[909, 1499, 1717, 1721, 743, 47, 143, 0, 487, 1021]"
928,844,Religion,Hinduism,nonstop drinking,1,"['nonstop', 'drinking']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
929,845,Race,Indian,Indians are the kind of people who love to drown in cow excrement.,1,"['indians', 'kind', 'people', 'love', 'drown', 'cow', 'excrement']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
930,846,Religion,Hinduism,he should follow hindu tradition like grandpa.,0,"['follow', 'hindu', 'tradition', 'like', 'grandpa']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
931,846,Religion,Hinduism,not behave like crazy middle eastern,0,"['misbehave', 'like', 'crazy', 'middle', 'eastern']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
932,847,Race,Indian,there are certain Indian individuals causing trouble once they are drunk.,0,"['certain', 'indian', 'individuals', 'causing', 'trouble', 'drunk']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
933,847,Race,Indian,of course many are not but this affect the general impression of others on them,0,"['course', 'many', 'affect', 'general', 'impression', 'others']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
